,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2018-10-01 00:00:00+02:00,259.325,3192.67,30.7475,413.6825,1627.7,99.688,0.209,1.164,6.99,1.026,23.775000000000002,44.48500000000001,,0.0,128.18858,4.3260000000000005,11.638
2018-10-01 00:15:00+02:00,259.0375,3195.5400000000004,43.2425,415.275,1612.94,99.50475,0.209,1.164,6.996,1.026,23.778000000000002,44.48500000000001,,0.0,128.419135,4.407,11.72875
2018-10-01 00:30:00+02:00,258.98,3188.57,43.2425,415.8875,1646.355,99.50475,0.209,1.164,7.008,0.438,23.694,44.48500000000001,,0.0,128.64969,4.752,11.77
2018-10-01 00:45:00+02:00,258.175,3170.3250000000003,43.2425,412.335,1628.7250000000001,99.3215,0.209,1.164,7.008,0.20400000000000001,23.484,44.48500000000001,,0.0,128.64969,6.021,11.52525
2018-10-01 01:00:00+02:00,257.37,3195.5400000000004,43.2425,395.5525,1624.42,96.93925,0.209,1.164,7.026,0.732,23.766000000000002,44.48500000000001,,0.0,128.18858,6.348,11.1595
2018-10-01 01:15:00+02:00,256.6225,3198.0000000000005,46.305,396.7775,1619.91,96.93925,0.209,1.164,7.026,0.432,23.724,44.48500000000001,,0.0,128.18858,6.1290000000000004,11.11275
2018-10-01 01:30:00+02:00,257.8875,3202.92,46.305,399.9625,1576.8600000000001,96.756,0.209,1.164,7.05,0.258,23.73,44.48500000000001,,0.0,128.18858,6.2010000000000005,10.73325
2018-10-01 01:45:00+02:00,256.96750000000003,3200.255,46.305,399.84,1543.4450000000002,96.756,0.209,1.164,7.056,0.186,23.664,44.48500000000001,,0.0,127.958025,6.33,10.54075
2018-10-01 02:00:00+02:00,258.0025,3214.8100000000004,46.305,407.3125,1492.8100000000002,96.93925,0.209,1.164,7.0920000000000005,0.486,23.838,44.48500000000001,,0.0,128.419135,5.886,10.527
2018-10-01 02:15:00+02:00,257.71500000000003,3215.835,45.6925,408.17,1521.5100000000002,96.93925,0.209,1.164,7.122,0.258,23.778000000000002,44.48500000000001,,0.0,128.880245,6.438,10.63975
2018-10-01 02:30:00+02:00,257.08250000000004,3213.3750000000005,45.6925,409.395,1580.96,96.756,0.209,1.164,7.122,0.12,23.769000000000002,44.48500000000001,,0.0,127.03580500000001,6.543,10.631499999999999
2018-10-01 02:45:00+02:00,257.37,3218.295,45.6925,406.0875,1601.255,96.3895,0.19949999999999998,1.164,7.134,0.10200000000000001,23.739,44.48500000000001,,0.0,126.34414000000001,6.864,10.84325
2018-10-01 03:00:00+02:00,257.3125,3228.34,45.6925,386.365,1617.2450000000001,96.93925,0.19949999999999998,1.164,7.140000000000001,0.468,23.664,44.48500000000001,,0.0,126.34414000000001,6.69,10.88175
2018-10-01 03:15:00+02:00,256.8525,3227.5200000000004,44.4675,387.59,1622.1650000000002,96.93925,0.19949999999999998,1.164,7.140000000000001,0.456,23.496000000000002,44.48500000000001,,0.0,127.958025,5.8740000000000006,11.17325
2018-10-01 03:30:00+02:00,257.02500000000003,3231.4150000000004,44.4675,389.06,1627.7,97.1225,0.19949999999999998,1.164,7.146,0.126,23.514,44.48500000000001,,0.0,129.1108,6.477,11.514249999999999
2018-10-01 03:45:00+02:00,256.6225,3230.1850000000004,44.4675,390.8975,1630.5700000000002,97.30575,0.19949999999999998,1.164,7.140000000000001,0.07200000000000001,23.37,44.48500000000001,,0.0,128.64969,7.371,11.984499999999999
2018-10-01 04:00:00+02:00,256.45,3245.15,44.4675,406.455,1612.1200000000001,96.93925,0.209,1.164,7.134,0.276,23.481,44.48500000000001,,0.0,129.57191,8.094,12.24575
2018-10-01 04:15:00+02:00,257.5425,3241.8700000000003,45.57,409.15,1634.055,96.756,0.209,1.164,7.146,0.228,23.409,44.48500000000001,,0.0,129.1108,7.527,12.4245
2018-10-01 04:30:00+02:00,258.175,3241.8700000000003,45.57,415.275,1707.035,96.93925,0.209,1.164,7.158,0.33,23.649,44.48500000000001,,0.0,129.57191,7.68,12.74625
2018-10-01 04:45:00+02:00,258.29,3238.795,45.57,416.6225,1788.6250000000002,96.756,0.209,1.17,7.152,0.228,23.79,44.28,,0.0,129.1108,7.44,12.9855
2018-10-01 05:00:00+02:00,258.3475,3233.0550000000003,45.57,432.3025,1937.4550000000002,96.756,0.19949999999999998,1.164,7.152,0.228,23.73,44.28,,0.0,128.419135,7.455,13.51075
2018-10-01 05:15:00+02:00,259.21000000000004,3234.9,43.12,434.875,2047.13,96.93925,0.19949999999999998,1.266,7.17,0.132,23.778000000000002,44.28,,0.0,128.419135,7.7010000000000005,14.10475
2018-10-01 05:30:00+02:00,258.8075,3241.05,43.12,452.515,2149.63,96.756,0.19949999999999998,1.26,7.164000000000001,0.198,23.826,44.28,,0.0,128.419135,8.388,14.597
2018-10-01 05:45:00+02:00,260.245,3249.045,43.12,467.0925,2276.73,96.756,0.19949999999999998,1.308,7.164000000000001,0.378,23.85,44.28,,0.0,127.958025,8.289,15.014999999999999
2018-10-01 06:00:00+02:00,260.245,3216.4500000000003,43.12,557.2524999999999,2428.2250000000004,96.57275,0.19949999999999998,1.722,7.152,0.108,23.628,44.28,,0.0,128.419135,9.96,15.7685
2018-10-01 06:15:00+02:00,259.785,3216.2450000000003,42.14,567.2975,2534.4150000000004,96.3895,0.209,2.124,7.134,0.228,23.541,44.075,,0.0,129.341355,10.083,16.3295
2018-10-01 06:30:00+02:00,259.4975,3232.8500000000004,42.14,579.0575,2554.9150000000004,96.3895,0.209,4.944,7.140000000000001,0.768,23.625,44.075,,0.0,128.18858,10.485,16.74475
2018-10-01 06:45:00+02:00,258.9225,3237.9750000000004,42.14,608.9475,2645.73,95.83975,0.19949999999999998,6.972,7.17,0.792,23.835,44.28,,0.0,127.958025,11.61,16.95375
