,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2018-10-01 00:00:00+02:00,4510.0,15574.0,251.0,3377.0,7940.0,544.0,22.0,194.0,1165.0,171.0,7925.0,217.0,122.0,0.0,556.0,1442.0,4232.0
2018-10-01 00:15:00+02:00,4505.0,15588.0,353.0,3390.0,7868.0,543.0,22.0,194.0,1166.0,171.0,7926.0,217.0,122.0,0.0,557.0,1469.0,4265.0
2018-10-01 00:30:00+02:00,4504.0,15554.0,353.0,3395.0,8031.0,543.0,22.0,194.0,1168.0,73.0,7898.0,217.0,122.0,0.0,558.0,1584.0,4280.0
2018-10-01 00:45:00+02:00,4490.0,15465.0,353.0,3366.0,7945.0,542.0,22.0,194.0,1168.0,34.0,7828.0,217.0,122.0,0.0,558.0,2007.0,4191.0
2018-10-01 01:00:00+02:00,4476.0,15588.0,353.0,3229.0,7924.0,529.0,22.0,194.0,1171.0,122.0,7922.0,217.0,122.0,0.0,556.0,2116.0,4058.0
2018-10-01 01:15:00+02:00,4463.0,15600.0,378.0,3239.0,7902.0,529.0,22.0,194.0,1171.0,72.0,7908.0,217.0,122.0,0.0,556.0,2043.0,4041.0
2018-10-01 01:30:00+02:00,4485.0,15624.0,378.0,3265.0,7692.0,528.0,22.0,194.0,1175.0,43.0,7910.0,217.0,122.0,0.0,556.0,2067.0,3903.0
2018-10-01 01:45:00+02:00,4469.0,15611.0,378.0,3264.0,7529.0,528.0,22.0,194.0,1176.0,31.0,7888.0,217.0,122.0,0.0,555.0,2110.0,3833.0
2018-10-01 02:00:00+02:00,4487.0,15682.0,378.0,3325.0,7282.0,529.0,22.0,194.0,1182.0,81.0,7946.0,217.0,122.0,0.0,557.0,1962.0,3828.0
2018-10-01 02:15:00+02:00,4482.0,15687.0,373.0,3332.0,7422.0,529.0,22.0,194.0,1187.0,43.0,7926.0,217.0,122.0,0.0,559.0,2146.0,3869.0
2018-10-01 02:30:00+02:00,4471.0,15675.0,373.0,3342.0,7712.0,528.0,22.0,194.0,1187.0,20.0,7923.0,217.0,122.0,0.0,551.0,2181.0,3866.0
