,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2019-09-01 00:00:00+02:00,18.17,430.50000000000006,432.18,0.0,0.12,0.192,16.62,41.82,,,0.0,0.253
2019-09-01 00:15:00+02:00,18.400000000000002,469.04,415.03,0.0,0.12,0.192,16.608,41.82,,,0.0,0.264
2019-09-01 00:30:00+02:00,18.17,482.98,394.94,0.0,0.12,0.192,16.62,41.82,,,0.0,0.308
2019-09-01 00:45:00+02:00,18.400000000000002,449.36,392.49,0.0,0.12,0.192,16.62,41.82,,,0.0,0.352
2019-09-01 01:00:00+02:00,18.400000000000002,464.94000000000005,401.31,0.0,0.12,0.192,16.62,41.82,,,0.0,0.374
2019-09-01 01:15:00+02:00,18.17,462.48,392.49,0.0,0.12,0.192,16.608,41.82,,,0.0,0.374
2019-09-01 01:30:00+02:00,18.17,415.74,390.04,0.0,0.12,0.192,16.608,41.82,,,0.0,0.45099999999999996
2019-09-01 01:45:00+02:00,17.94,378.02000000000004,391.51,0.0,0.12,0.192,16.608,41.82,,,0.0,0.495
2019-09-01 02:00:00+02:00,18.17,380.48,386.61,0.0,0.12,0.192,16.62,41.0,,,0.0,0.506
2019-09-01 02:15:00+02:00,17.94,383.76000000000005,386.12,0.0,0.12,0.192,16.608,41.0,,,0.0,0.506
2019-09-01 02:30:00+02:00,17.94,358.34000000000003,385.63,0.0,0.12,0.192,16.608,41.0,,,0.0,0.495
2019-09-01 02:45:00+02:00,16.560000000000002,350.14000000000004,385.14,0.0,0.12,0.192,16.608,41.0,,,0.0,0.484
2019-09-01 03:00:00+02:00,14.26,327.18,374.36,0.0,0.12,0.192,16.608,41.0,,,0.0,0.46199999999999997
2019-09-01 03:15:00+02:00,11.5,320.62,373.38,0.0,0.12,0.192,16.608,41.0,,,0.0,0.46199999999999997
2019-09-01 03:30:00+02:00,10.81,315.70000000000005,366.52,0.0,0.12,0.192,16.608,41.0,,,0.0,0.429
2019-09-01 03:45:00+02:00,10.81,317.34000000000003,358.68,0.0,0.12,0.192,16.62,41.0,,,0.0,0.407
2019-09-01 04:00:00+02:00,11.040000000000001,317.34000000000003,351.33,0.0,0.12,0.192,16.62,41.0,,,0.0,0.374
2019-09-01 04:15:00+02:00,11.040000000000001,318.16,352.8,0.0,0.12,0.192,16.62,41.0,,,0.0,0.319
2019-09-01 04:30:00+02:00,11.040000000000001,318.16,355.74,0.0,0.12,0.192,16.62,41.0,,,0.0,0.242
2019-09-01 04:45:00+02:00,11.040000000000001,322.26000000000005,370.44,0.0,0.12,0.192,16.62,41.0,,,0.0,0.176
2019-09-01 05:00:00+02:00,11.040000000000001,363.26000000000005,374.84999999999997,0.0,0.12,0.192,16.632,41.82,,,0.0,0.143
2019-09-01 05:15:00+02:00,11.040000000000001,396.06,371.42,0.0,0.12,0.192,16.62,41.82,,,0.0,0.10999999999999999
2019-09-01 05:30:00+02:00,11.040000000000001,387.04,368.96999999999997,0.0,0.12,0.192,16.62,41.82,,,0.0,0.088
2019-09-01 05:45:00+02:00,11.270000000000001,380.48,355.25,0.0,0.12,0.192,16.62,41.82,,,0.0,0.088
2019-09-01 06:00:00+02:00,11.5,365.72,334.18,0.0,0.12,0.192,16.632,41.0,,,0.0,0.088
2019-09-01 06:15:00+02:00,12.190000000000001,343.58000000000004,357.21,0.0,0.12,0.192,16.632,41.0,,,0.0,0.132
2019-09-01 06:30:00+02:00,13.110000000000001,368.18,363.09,0.0,0.12,0.192,16.632,41.0,,,0.0,0.143
2019-09-01 06:45:00+02:00,13.8,396.06,371.42,0.0,0.12,0.192,16.632,41.0,,,0.0,0.132
2019-09-01 07:00:00+02:00,14.030000000000001,413.28000000000003,348.39,0.0,0.14400000000000002,0.192,16.632,42.64,,,0.0,0.10999999999999999
2019-09-01 07:15:00+02:00,14.49,402.62,366.03,0.0,0.168,0.192,16.644000000000002,42.64,,,0.0,0.121
2019-09-01 07:30:00+02:00,16.1,423.94000000000005,367.5,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.132
2019-09-01 07:45:00+02:00,16.79,451.00000000000006,367.01,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.132
2019-09-01 08:00:00+02:00,18.17,451.82000000000005,357.21,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.10999999999999999
2019-09-01 08:15:00+02:00,17.71,427.22,374.36,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.066
2019-09-01 08:30:00+02:00,17.02,443.62000000000006,378.77,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.033
2019-09-01 08:45:00+02:00,17.25,460.84000000000003,378.77,0.0,0.14400000000000002,0.192,16.644000000000002,42.64,,,0.0,0.011
2019-09-01 09:00:00+02:00,18.17,451.00000000000006,369.95,0.0,0.14400000000000002,0.192,16.644000000000002,45.1,,,0.0,0.0
2019-09-01 09:15:00+02:00,17.94,432.96000000000004,380.73,0.0,0.14400000000000002,0.192,16.632,45.1,,,0.0,0.011
2019-09-01 09:30:00+02:00,17.71,437.06000000000006,380.73,0.0,0.14400000000000002,0.192,16.632,45.1,,,0.0,0.011
2019-09-01 09:45:00+02:00,17.71,459.20000000000005,380.73,0.0,0.14400000000000002,0.192,16.632,45.1,,,0.0,0.011
2019-09-01 10:00:00+02:00,17.25,463.3,375.83,0.0,0.14400000000000002,0.192,16.632,45.92,,,0.0,0.011
2019-09-01 10:15:00+02:00,17.25,451.00000000000006,380.24,0.0,0.14400000000000002,0.192,16.632,45.92,,,0.0,0.011
2019-09-01 10:30:00+02:00,17.94,464.12000000000006,380.24,0.0,0.14400000000000002,0.192,16.608,45.92,,,0.0,0.011
2019-09-01 10:45:00+02:00,17.94,469.04,380.24,0.0,0.14400000000000002,0.192,16.62,45.92,,,0.0,0.011
2019-09-01 11:00:00+02:00,17.94,488.72,378.77,0.0,0.14400000000000002,0.192,16.62,45.1,,,0.0,0.011
2019-09-01 11:15:00+02:00,17.94,503.48,378.28,0.0,0.14400000000000002,0.192,16.608,45.1,,,0.0,0.011
2019-09-01 11:30:00+02:00,17.71,506.76000000000005,378.28,0.0,0.14400000000000002,0.192,16.608,45.1,,,0.0,0.0
2019-09-01 11:45:00+02:00,17.71,498.56000000000006,384.15999999999997,0.0,0.14400000000000002,0.192,16.608,47.56,,,0.0,0.011
2019-09-01 12:00:00+02:00,17.71,503.48,386.61,0.0,0.168,0.192,16.608,47.56,,,0.0,0.011
2019-09-01 12:15:00+02:00,17.94,510.04,386.61,0.0,0.168,0.192,16.608,47.56,,,0.0,0.033
2019-09-01 12:30:00+02:00,17.94,518.24,382.2,0.0,0.168,0.192,16.632,47.56,,,0.0,0.044
2019-09-01 12:45:00+02:00,17.94,514.14,378.77,0.0,0.168,0.192,16.632,47.56,,,0.0,0.066
2019-09-01 13:00:00+02:00,18.17,515.7800000000001,386.61,0.0,0.168,0.192,16.644000000000002,47.56,,,0.0,0.10999999999999999
2019-09-01 13:15:00+02:00,17.25,514.14,379.75,0.0,0.168,0.192,16.644000000000002,47.56,,,0.0,0.132
2019-09-01 13:30:00+02:00,17.25,517.4200000000001,381.21999999999997,0.0,0.168,0.192,16.632,47.56,,,0.0,0.16499999999999998
2019-09-01 13:45:00+02:00,17.25,515.7800000000001,389.55,0.0,0.168,0.192,16.644000000000002,47.56,,,0.0,0.187
