,date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2017-05-01 00:00:00+02:00,4664,6799,1299,1156,177,18,729,1647,78,,5499,3200,178,0,302,3405,23952
1,2017-05-01 00:15:00+02:00,4665,6789,1295,1155,186,18,505,1619,64,,5595,3171,178,0,304,3380,24114
2,2017-05-01 00:30:00+02:00,4665,6684,1312,1152,190,18,314,1613,70,,5683,3232,178,0,304,3380,24016
3,2017-05-01 00:45:00+02:00,4661,6672,1312,1150,190,18,295,1612,62,,5691,3240,178,0,309,3382,23810
4,2017-05-01 01:00:00+02:00,4660,6675,1311,1133,191,18,307,1614,76,,5696,3054,178,0,307,3382,23478
5,2017-05-01 01:15:00+02:00,4662,6602,1314,1134,190,19,321,1615,79,,5709,3035,178,0,297,3381,23207
6,2017-05-01 01:30:00+02:00,4670,6606,1317,1127,190,19,301,1615,61,,5706,3097,178,0,308,3376,22966
7,2017-05-01 01:45:00+02:00,4664,6647,1321,1135,190,19,298,1617,59,,5703,3154,178,0,315,3370,22746
8,2017-05-01 02:00:00+02:00,4663,6752,1313,1161,190,19,300,1618,66,,5713,2817,178,0,304,3370,22595
9,2017-05-01 02:15:00+02:00,4666,6787,1316,1164,190,19,363,1621,60,,5663,2719,178,0,300,3371,22439
10,2017-05-01 02:30:00+02:00,4666,6836,1322,1155,190,19,253,1622,75,,5657,2818,178,0,298,3371,22026
11,2017-05-01 02:45:00+02:00,4649,6833,1316,1149,190,19,369,1619,71,,5663,2890,178,0,298,3367,21750
12,2017-05-01 03:00:00+02:00,4633,6841,1306,1150,190,19,285,1616,78,,5675,2716,178,0,298,3371,21540
13,2017-05-01 03:15:00+02:00,4636,6839,1305,1158,190,19,143,1616,69,,5701,2692,178,0,301,3376,21062
14,2017-05-01 03:30:00+02:00,4641,6838,1319,1167,190,19,366,1610,70,,5807,2773,178,0,305,3376,20673
15,2017-05-01 03:45:00+02:00,4650,6917,1311,1159,191,19,534,1608,70,,5933,2494,178,0,305,3376,20340
16,2017-05-01 04:00:00+02:00,4648,6919,1315,1215,190,19,160,1610,90,,6019,2429,178,0,300,3377,19966
17,2017-05-01 04:15:00+02:00,4645,6859,1320,1226,190,19,793,1613,122,,6025,2447,178,0,307,3378,19526
18,2017-05-01 04:30:00+02:00,4654,6871,1329,1223,191,19,802,1612,114,,6029,2504,178,0,317,3375,19129
19,2017-05-01 04:45:00+02:00,4657,6891,1317,1223,190,19,511,1612,121,,6023,2370,178,0,309,3368,18953
20,2017-05-01 05:00:00+02:00,4643,7224,1314,1268,190,19,563,1608,81,,5999,2499,178,0,314,3375,18794
21,2017-05-01 05:15:00+02:00,4659,7471,1333,1256,190,18,138,1603,61,,5974,2595,178,0,315,3375,18588
22,2017-05-01 05:30:00+02:00,4658,7649,1326,1270,190,18,14,1599,68,,5967,2481,178,13,309,3376,18392
23,2017-05-01 05:45:00+02:00,4661,7679,1321,1305,190,19,173,1598,44,,5948,2414,178,39,313,3377,18203
24,2017-05-01 06:00:00+02:00,4657,7428,1318,1356,190,19,1,1594,56,,5928,2578,178,156,315,3376,18266
25,2017-05-01 06:15:00+02:00,4663,7395,1323,1357,190,18,1,1596,44,,5934,2261,178,419,304,3372,17973
26,2017-05-01 06:30:00+02:00,4693,7338,1327,1370,190,19,1,1597,47,,5890,2089,178,897,304,3371,17412
27,2017-05-01 06:45:00+02:00,4714,7336,1328,1366,190,19,1,1602,50,,5844,2051,178,1579,320,3369,17153
28,2017-05-01 07:00:00+02:00,4726,7158,1327,1368,190,19,2,1606,71,,5871,2029,178,2350,313,3370,17132
29,2017-05-01 07:15:00+02:00,4734,7154,1335,1369,190,18,1,1613,80,,5898,1846,178,3243,315,3363,16812
30,2017-05-01 07:30:00+02:00,4732,7192,1343,1378,191,18,1,1616,77,,5945,1930,178,4223,311,3350,16338
31,2017-05-01 07:45:00+02:00,4732,7210,1350,1368,190,18,24,1622,57,,5948,1784,178,5219,315,3354,16146
32,2017-05-01 08:00:00+02:00,4733,7306,1336,1424,190,17,47,1629,76,,6008,1788,178,6330,307,3354,15498
33,2017-05-01 08:15:00+02:00,4754,7282,1341,1428,190,17,17,1638,91,,6154,1871,178,7472,310,3351,14976
34,2017-05-01 08:30:00+02:00,4751,7162,1362,1441,190,16,714,1642,61,,6354,1931,178,8562,313,3348,14730
35,2017-05-01 08:45:00+02:00,4753,7122,1350,1452,190,16,110,1643,80,,6585,1839,178,9532,314,3337,14418
36,2017-05-01 09:00:00+02:00,4748,7121,1328,1434,190,16,437,1641,81,,6859,1987,178,10445,314,3780,14331
37,2017-05-01 09:15:00+02:00,4751,7132,1330,1460,190,16,566,1643,61,,7103,1995,178,11400,310,3452,14202
38,2017-05-01 09:30:00+02:00,4761,7041,1335,1467,190,16,561,1647,49,,7271,2297,178,12223,306,3237,14178
39,2017-05-01 09:45:00+02:00,4764,7010,1334,1615,190,15,542,1651,67,,7393,2320,178,12932,314,3216,14343
40,2017-05-01 10:00:00+02:00,4762,7069,1325,1701,190,15,193,1654,65,,7439,2110,178,13488,311,3214,14573
41,2017-05-01 10:15:00+02:00,4764,7095,1330,1789,190,16,33,1652,68,,7508,2041,178,14045,305,3208,14685
42,2017-05-01 10:30:00+02:00,4767,7080,1338,1834,190,16,133,1655,48,,7547,2031,178,14578,304,3203,15008
43,2017-05-01 10:45:00+02:00,4775,7063,1326,1847,190,16,113,1657,42,,7577,1906,178,14912,306,3197,15164
