,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Wind Onshore
2022-01-07 11:00:00+01:00,445.26000000000005,5.496,0.39599999999999996
2022-01-07 12:00:00+01:00,460.02000000000004,5.688,0.39599999999999996
2022-01-07 13:00:00+01:00,461.66,5.64,0.39599999999999996
2022-01-07 14:00:00+01:00,460.02000000000004,5.664,0.38499999999999995
2022-01-07 15:00:00+01:00,459.20000000000005,5.472,0.363
2022-01-07 16:00:00+01:00,455.1,5.64,0.308
2022-01-07 17:00:00+01:00,458.38000000000005,5.5200000000000005,0.242
2022-01-07 18:00:00+01:00,455.1,5.688,0.209
2022-01-07 19:00:00+01:00,456.74,5.424,0.19799999999999998
2022-01-07 20:00:00+01:00,432.14000000000004,5.112,0.121
2022-01-07 21:00:00+01:00,293.56,5.112,0.09899999999999999
2022-01-07 22:00:00+01:00,293.56,6.984,0.05499999999999999
2022-01-07 23:00:00+01:00,296.84000000000003,7.224,0.066
2022-01-08 00:00:00+01:00,296.02000000000004,5.328,0.022
2022-01-08 01:00:00+01:00,297.66,3.192,0.011
2022-01-08 02:00:00+01:00,301.76000000000005,1.104,0.011
2022-01-08 03:00:00+01:00,299.3,0.48,0.011
2022-01-08 04:00:00+01:00,296.84000000000003,0.48,0.011
2022-01-08 05:00:00+01:00,300.12,0.504,0.011
2022-01-08 06:00:00+01:00,300.12,0.888,0.0
2022-01-08 07:00:00+01:00,300.94,0.864,0.0
2022-01-08 08:00:00+01:00,305.86,1.704,0.011
2022-01-08 09:00:00+01:00,300.12,3.528,0.011
2022-01-08 10:00:00+01:00,296.02000000000004,3.864,0.0
2022-01-08 11:00:00+01:00,294.38,4.992,0.011
2022-01-08 12:00:00+01:00,291.1,5.016,0.0
2022-01-08 13:00:00+01:00,291.1,5.016,0.0
2022-01-08 14:00:00+01:00,296.02000000000004,5.28,0.0
2022-01-08 15:00:00+01:00,293.56,5.328,0.011
2022-01-08 16:00:00+01:00,296.02000000000004,6.5520000000000005,0.011
2022-01-08 17:00:00+01:00,296.84000000000003,6.72,0.011
2022-01-08 18:00:00+01:00,291.92,6.696,0.011
2022-01-08 19:00:00+01:00,292.74,5.664,0.0
2022-01-08 20:00:00+01:00,296.84000000000003,5.448,0.0
2022-01-08 21:00:00+01:00,296.02000000000004,5.088,0.0
2022-01-08 22:00:00+01:00,304.22,6.912,0.0
2022-01-08 23:00:00+01:00,303.40000000000003,7.296,0.0
2022-01-09 00:00:00+01:00,293.56,5.928,0.0
2022-01-09 01:00:00+01:00,296.02000000000004,3.888,0.0
2022-01-09 02:00:00+01:00,291.92,2.04,0.0
2022-01-09 03:00:00+01:00,291.92,1.032,0.0
2022-01-09 04:00:00+01:00,292.74,0.48,0.011
2022-01-09 05:00:00+01:00,305.86,0.48,0.011
2022-01-09 06:00:00+01:00,316.52000000000004,0.40800000000000003,0.011
