,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2017-06-01 00:00:00+02:00,4436.0,14902.0,2481.0,7650.0,230.0,14.0,390.0,2115.0,98.0,0.0,7680.0,3755.0,161.0,0.0,240.0,1485.0,6698.0
2017-06-01 00:15:00+02:00,4444.0,14893.0,2500.0,7398.0,224.0,14.0,10.0,2122.0,57.0,0.0,7674.0,3507.0,161.0,0.0,245.0,1435.0,6603.0
2017-06-01 00:30:00+02:00,4444.0,14912.0,2499.0,7275.0,215.0,14.0,10.0,2122.0,55.0,0.0,7672.0,3317.0,160.0,0.0,245.0,1428.0,6405.0
2017-06-01 00:45:00+02:00,4443.0,14894.0,2493.0,7152.0,214.0,15.0,103.0,2119.0,34.0,0.0,7671.0,3277.0,161.0,0.0,237.0,1392.0,6161.0
2017-06-01 01:00:00+02:00,4442.0,14932.0,2502.0,6846.0,218.0,15.0,11.0,2119.0,94.0,0.0,7690.0,3228.0,161.0,0.0,241.0,1332.0,6080.0
2017-06-01 01:15:00+02:00,4440.0,14943.0,2503.0,6730.0,221.0,15.0,10.0,2120.0,55.0,0.0,7693.0,3104.0,161.0,0.0,247.0,1277.0,6030.0
2017-06-01 01:30:00+02:00,4429.0,14933.0,2493.0,6553.0,226.0,15.0,103.0,2121.0,95.0,0.0,7694.0,3288.0,161.0,0.0,248.0,1186.0,5998.0
2017-06-01 01:45:00+02:00,4435.0,14865.0,2436.0,6398.0,226.0,15.0,9.0,2120.0,62.0,0.0,7676.0,3272.0,160.0,0.0,239.0,1159.0,5869.0
2017-06-01 02:00:00+02:00,4437.0,14986.0,2404.0,6124.0,225.0,15.0,5.0,2118.0,67.0,0.0,7693.0,3450.0,161.0,0.0,238.0,1157.0,5699.0
2017-06-01 02:15:00+02:00,4435.0,14971.0,2410.0,5990.0,222.0,15.0,5.0,2117.0,31.0,0.0,7688.0,3441.0,161.0,0.0,237.0,1094.0,5663.0
2017-06-01 02:30:00+02:00,4434.0,14945.0,2402.0,5954.0,219.0,15.0,5.0,2116.0,74.0,0.0,7685.0,3447.0,161.0,0.0,238.0,1062.0,5541.0
