,date,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2015-03-01 00:00:00+01:00,,,,,206.0,,,,34.0,,,,,,818.0,
1,2015-03-01 00:15:00+01:00,,,,,205.0,,,,14.0,,,,,,815.0,
2,2015-03-01 00:30:00+01:00,,,,,206.0,,,,18.0,,,,,,813.0,
3,2015-03-01 00:45:00+01:00,,,,,205.0,,,,15.0,,,,,,814.0,
4,2015-03-01 01:00:00+01:00,4001.0,14370.0,1385.0,2139.0,204.0,16.0,399.0,1253.0,12.0,9827.0,5593.0,65.0,0.0,269.0,818.0,18662.0
5,2015-03-01 01:15:00+01:00,4009.0,14134.0,1377.0,2097.0,204.0,16.0,192.0,1247.0,13.0,9810.0,5492.0,65.0,0.0,270.0,819.0,18784.0
6,2015-03-01 01:30:00+01:00,4011.0,13772.0,1379.0,2071.0,204.0,16.0,178.0,1244.0,10.0,9808.0,5518.0,65.0,0.0,272.0,818.0,18845.0
7,2015-03-01 01:45:00+01:00,4022.0,13561.0,1380.0,2035.0,205.0,16.0,118.0,1244.0,13.0,9797.0,5824.0,66.0,0.0,275.0,823.0,18819.0
8,2015-03-01 02:00:00+01:00,4012.0,13548.0,1388.0,2004.0,205.0,16.0,271.0,1241.0,17.0,9841.0,5964.0,65.0,0.0,279.0,831.0,18985.0
9,2015-03-01 02:15:00+01:00,3998.0,13638.0,1384.0,1996.0,204.0,16.0,166.0,1237.0,18.0,9817.0,5911.0,66.0,0.0,275.0,830.0,19221.0
10,2015-03-01 02:30:00+01:00,3987.0,13576.0,1382.0,2000.0,203.0,16.0,186.0,1236.0,15.0,9819.0,5801.0,65.0,0.0,275.0,823.0,19221.0
11,2015-03-01 02:45:00+01:00,3994.0,14043.0,1383.0,1999.0,203.0,16.0,142.0,1234.0,13.0,9750.0,5760.0,66.0,0.0,275.0,825.0,19235.0
12,2015-03-01 03:00:00+01:00,3999.0,14001.0,1395.0,2000.0,202.0,16.0,119.0,1231.0,16.0,9759.0,5528.0,65.0,0.0,279.0,827.0,19609.0
13,2015-03-01 03:15:00+01:00,4010.0,14012.0,1389.0,2002.0,203.0,16.0,16.0,1228.0,15.0,9697.0,5595.0,65.0,0.0,276.0,823.0,19971.0
14,2015-03-01 03:30:00+01:00,3985.0,14054.0,1388.0,2003.0,203.0,16.0,16.0,1221.0,13.0,9577.0,5632.0,65.0,0.0,274.0,824.0,20261.0
15,2015-03-01 03:45:00+01:00,3999.0,13948.0,1392.0,1992.0,203.0,16.0,187.0,1220.0,14.0,9380.0,5452.0,65.0,0.0,276.0,817.0,20563.0
16,2015-03-01 04:00:00+01:00,3979.0,13862.0,1392.0,1993.0,203.0,16.0,391.0,1220.0,20.0,9300.0,5453.0,65.0,0.0,273.0,812.0,20713.0
17,2015-03-01 04:15:00+01:00,3975.0,13764.0,1387.0,1991.0,203.0,16.0,39.0,1223.0,17.0,9270.0,5340.0,65.0,0.0,273.0,808.0,20532.0
18,2015-03-01 04:30:00+01:00,3986.0,13746.0,1381.0,2020.0,203.0,16.0,345.0,1217.0,12.0,9229.0,5656.0,66.0,0.0,274.0,812.0,20669.0
