,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-10-01 00:00:00+02:00,0.0,3.672,,10.128,16.5,0.0,0.16499999999999998
2015-10-01 01:00:00+02:00,0.0,1.248,,10.008000000000001,16.5,0.0,0.176
2015-10-01 02:00:00+02:00,0.0,0.024,,11.616,16.524,0.0,0.154
2015-10-01 03:00:00+02:00,0.0,0.0,,10.224,16.524,0.0,0.121
2015-10-01 04:00:00+02:00,0.0,0.0,,8.304,15.984,0.0,0.088
2015-10-01 05:00:00+02:00,0.0,2.952,,11.928,15.876,0.0,0.09899999999999999
2015-10-01 06:00:00+02:00,0.0,13.992,,25.896,16.224,0.0,0.10999999999999999
2015-10-01 07:00:00+02:00,0.0,19.104,,52.344,16.452,0.041,0.10999999999999999
2015-10-01 08:00:00+02:00,0.0,19.632,,50.28,16.452,0.41000000000000003,0.05499999999999999
2015-10-01 09:00:00+02:00,0.0,17.712,,39.336,16.44,1.23,0.011
2015-10-01 10:00:00+02:00,0.98,16.224,,24.48,16.452,2.337,0.011
2015-10-01 11:00:00+02:00,6.859999999999999,15.528,,21.672,16.44,3.69,0.011
2015-10-01 12:00:00+02:00,13.719999999999999,15.912,,18.984,16.44,4.5920000000000005,0.022
2015-10-01 13:00:00+02:00,0.49,5.424,,14.088000000000001,16.416,4.838,0.011
2015-10-01 14:00:00+02:00,0.0,5.784,,11.952,16.392,4.674,0.011
2015-10-01 15:00:00+02:00,0.0,2.496,,10.296,16.38,3.936,0.033
2015-10-01 16:00:00+02:00,0.0,0.096,,12.528,16.38,2.829,0.044
2015-10-01 17:00:00+02:00,0.0,0.216,,10.392,16.356,1.435,0.022
2015-10-01 18:00:00+02:00,0.0,9.816,,28.92,16.332,0.28700000000000003,0.033
2015-10-01 19:00:00+02:00,0.0,19.224,,59.712,16.344,0.0,0.066
2015-10-01 20:00:00+02:00,0.0,18.36,,53.856,16.368000000000002,0.0,0.09899999999999999
2015-10-01 21:00:00+02:00,0.0,13.656,,18.36,16.368000000000002,0.0,0.143
2015-10-01 22:00:00+02:00,0.0,8.808,,12.36,16.368000000000002,0.0,0.132
