,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2015-05-01 00:00:00+02:00,234.0,5072.0,68.0,443.0,6788.0,0.0,172.0,0.0,1212.0
2015-05-01 01:00:00+02:00,234.0,4847.0,69.0,412.0,6507.0,0.0,171.0,0.0,1162.0
2015-05-01 02:00:00+02:00,234.0,4574.0,68.0,411.0,6532.0,0.0,171.0,0.0,952.0
2015-05-01 03:00:00+02:00,234.0,4567.0,66.0,412.0,6449.0,0.0,171.0,0.0,888.0
2015-05-01 04:00:00+02:00,234.0,4297.0,67.0,411.0,6476.0,0.0,171.0,0.0,912.0
2015-05-01 05:00:00+02:00,234.0,3586.0,67.0,410.0,6381.0,0.0,171.0,0.0,984.0
2015-05-01 06:00:00+02:00,234.0,3904.0,66.0,412.0,6429.0,0.0,187.0,0.0,888.0
2015-05-01 07:00:00+02:00,234.0,4849.0,66.0,409.0,6546.0,0.0,191.0,0.0,568.0
2015-05-01 08:00:00+02:00,234.0,5166.0,68.0,410.0,6740.0,80.0,209.0,0.0,394.0
2015-05-01 09:00:00+02:00,234.0,5142.0,66.0,416.0,7057.0,95.0,212.0,43.0,498.0
2015-05-01 10:00:00+02:00,234.0,5172.0,66.0,416.0,7283.0,92.0,214.0,43.0,633.0
2015-05-01 11:00:00+02:00,234.0,5185.0,67.0,416.0,7319.0,50.0,209.0,43.0,660.0
2015-05-01 12:00:00+02:00,234.0,5212.0,67.0,416.0,7289.0,80.0,195.0,43.0,776.0
2015-05-01 13:00:00+02:00,234.0,5190.0,67.0,415.0,7183.0,239.0,194.0,43.0,805.0
2015-05-01 14:00:00+02:00,235.0,5185.0,66.0,415.0,7041.0,39.0,194.0,0.0,865.0
2015-05-01 15:00:00+02:00,235.0,5073.0,67.0,407.0,6827.0,0.0,194.0,0.0,781.0
2015-05-01 16:00:00+02:00,235.0,4942.0,68.0,407.0,6784.0,0.0,193.0,0.0,686.0
2015-05-01 17:00:00+02:00,235.0,4909.0,66.0,406.0,6852.0,0.0,192.0,0.0,670.0
2015-05-01 18:00:00+02:00,235.0,5005.0,65.0,410.0,6960.0,0.0,206.0,0.0,472.0
2015-05-01 19:00:00+02:00,235.0,5062.0,65.0,419.0,7254.0,20.0,210.0,43.0,362.0
2015-05-01 20:00:00+02:00,235.0,5155.0,66.0,440.0,7702.0,237.0,208.0,43.0,357.0
2015-05-01 21:00:00+02:00,235.0,5184.0,66.0,441.0,7763.0,20.0,199.0,43.0,314.0
2015-05-01 22:00:00+02:00,234.0,5088.0,66.0,417.0,7075.0,0.0,170.0,0.0,369.0
2015-05-01 23:00:00+02:00,233.0,4320.0,68.0,411.0,6811.0,0.0,167.0,0.0,356.0
2015-05-02 00:00:00+02:00,233.0,4112.0,69.0,412.0,6838.0,0.0,170.0,0.0,441.0
2015-05-02 01:00:00+02:00,233.0,3689.0,68.0,412.0,6768.0,0.0,171.0,0.0,498.0
2015-05-02 02:00:00+02:00,233.0,3441.0,68.0,411.0,6753.0,0.0,171.0,0.0,510.0
2015-05-02 03:00:00+02:00,234.0,3361.0,68.0,412.0,6663.0,0.0,171.0,0.0,615.0
2015-05-02 04:00:00+02:00,234.0,3368.0,68.0,411.0,6527.0,0.0,171.0,0.0,689.0
2015-05-02 05:00:00+02:00,234.0,3374.0,66.0,411.0,6315.0,0.0,171.0,0.0,745.0
2015-05-02 06:00:00+02:00,235.0,3755.0,66.0,416.0,6795.0,0.0,171.0,0.0,708.0
2015-05-02 07:00:00+02:00,235.0,4596.0,66.0,432.0,7061.0,0.0,173.0,0.0,524.0
2015-05-02 08:00:00+02:00,235.0,4974.0,66.0,436.0,7533.0,20.0,188.0,43.0,614.0
2015-05-02 09:00:00+02:00,235.0,4816.0,67.0,436.0,7874.0,119.0,194.0,43.0,973.0
2015-05-02 10:00:00+02:00,235.0,4748.0,67.0,436.0,7879.0,95.0,190.0,43.0,1282.0
2015-05-02 11:00:00+02:00,235.0,4689.0,66.0,435.0,7788.0,154.0,202.0,43.0,1516.0
2015-05-02 12:00:00+02:00,235.0,4732.0,65.0,436.0,7671.0,60.0,187.0,43.0,1586.0
2015-05-02 13:00:00+02:00,235.0,4700.0,64.0,436.0,7647.0,60.0,191.0,43.0,1537.0
2015-05-02 14:00:00+02:00,234.0,4689.0,65.0,435.0,7499.0,0.0,190.0,0.0,1475.0
2015-05-02 15:00:00+02:00,235.0,4470.0,66.0,435.0,7400.0,0.0,189.0,0.0,1426.0
2015-05-02 16:00:00+02:00,235.0,3870.0,65.0,430.0,7366.0,0.0,189.0,0.0,1303.0
2015-05-02 17:00:00+02:00,235.0,4022.0,66.0,429.0,7289.0,0.0,189.0,0.0,1134.0
2015-05-02 18:00:00+02:00,235.0,4194.0,68.0,430.0,7532.0,40.0,205.0,0.0,823.0
2015-05-02 19:00:00+02:00,235.0,4451.0,67.0,432.0,7663.0,40.0,211.0,43.0,515.0
2015-05-02 20:00:00+02:00,235.0,4826.0,67.0,437.0,8251.0,78.0,211.0,43.0,443.0
2015-05-02 21:00:00+02:00,235.0,4827.0,67.0,437.0,8147.0,83.0,210.0,43.0,382.0
2015-05-02 22:00:00+02:00,233.0,4798.0,67.0,438.0,7377.0,0.0,167.0,43.0,415.0
2015-05-02 23:00:00+02:00,233.0,4477.0,68.0,420.0,6702.0,0.0,167.0,0.0,405.0
2015-05-03 00:00:00+02:00,233.0,4306.0,68.0,419.0,6518.0,0.0,173.0,0.0,337.0
2015-05-03 01:00:00+02:00,233.0,3954.0,68.0,412.0,6464.0,0.0,174.0,0.0,278.0
2015-05-03 02:00:00+02:00,233.0,3672.0,68.0,412.0,6516.0,0.0,174.0,0.0,244.0
2015-05-03 03:00:00+02:00,234.0,3548.0,69.0,412.0,6574.0,0.0,174.0,0.0,205.0
2015-05-03 04:00:00+02:00,234.0,3542.0,69.0,412.0,6607.0,0.0,174.0,0.0,169.0
2015-05-03 05:00:00+02:00,234.0,3152.0,68.0,413.0,6544.0,0.0,174.0,0.0,163.0
2015-05-03 06:00:00+02:00,234.0,3432.0,69.0,407.0,6638.0,0.0,174.0,0.0,163.0
2015-05-03 07:00:00+02:00,233.0,3642.0,70.0,386.0,6547.0,0.0,174.0,0.0,107.0
