,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
2015-09-01 00:00:00+02:00,231.0,4212.0,63.0,263.0,8404.0,189.0,0.0,60.0,0.0,1791.0
2015-09-01 01:00:00+02:00,231.0,4058.0,62.0,259.0,8320.0,191.0,0.0,61.0,0.0,1905.0
2015-09-01 02:00:00+02:00,229.0,3970.0,63.0,260.0,8307.0,191.0,0.0,61.0,0.0,1780.0
2015-09-01 03:00:00+02:00,233.0,4067.0,64.0,260.0,8261.0,193.0,0.0,61.0,0.0,1621.0
2015-09-01 04:00:00+02:00,233.0,4118.0,64.0,261.0,8437.0,191.0,0.0,60.0,0.0,1521.0
2015-09-01 05:00:00+02:00,233.0,4091.0,64.0,263.0,8580.0,190.0,0.0,60.0,0.0,1453.0
2015-09-01 06:00:00+02:00,234.0,4976.0,64.0,314.0,9460.0,188.0,0.0,60.0,0.0,1365.0
2015-09-01 07:00:00+02:00,238.0,5719.0,65.0,332.0,10365.0,193.0,0.0,61.0,0.0,1097.0
2015-09-01 08:00:00+02:00,238.0,6178.0,64.0,320.0,11042.0,193.0,0.0,62.0,0.0,664.0
2015-09-01 09:00:00+02:00,238.0,6312.0,69.0,318.0,11307.0,167.0,0.0,63.0,0.0,567.0
2015-09-01 10:00:00+02:00,237.0,6283.0,69.0,316.0,11683.0,182.0,77.0,68.0,0.0,473.0
2015-09-01 11:00:00+02:00,237.0,6346.0,68.0,315.0,11867.0,184.0,335.0,79.0,34.0,404.0
2015-09-01 12:00:00+02:00,237.0,6428.0,68.0,313.0,11848.0,183.0,465.0,77.0,39.0,451.0
2015-09-01 13:00:00+02:00,236.0,6512.0,67.0,313.0,11919.0,182.0,663.0,75.0,5.0,446.0
2015-09-01 14:00:00+02:00,236.0,6502.0,67.0,311.0,11666.0,183.0,481.0,70.0,0.0,427.0
2015-09-01 15:00:00+02:00,236.0,6556.0,67.0,311.0,11591.0,183.0,388.0,62.0,0.0,336.0
2015-09-01 16:00:00+02:00,236.0,6573.0,69.0,312.0,11529.0,183.0,198.0,62.0,0.0,349.0
2015-09-01 17:00:00+02:00,236.0,6562.0,68.0,313.0,11300.0,184.0,116.0,61.0,0.0,328.0
2015-09-01 18:00:00+02:00,236.0,6506.0,70.0,314.0,11191.0,183.0,0.0,59.0,0.0,333.0
2015-09-01 19:00:00+02:00,236.0,6562.0,70.0,318.0,11508.0,182.0,82.0,65.0,0.0,426.0
2015-09-01 20:00:00+02:00,236.0,6614.0,68.0,323.0,11697.0,185.0,635.0,75.0,0.0,654.0
2015-09-01 21:00:00+02:00,236.0,6412.0,69.0,325.0,11006.0,185.0,39.0,83.0,0.0,752.0
2015-09-01 22:00:00+02:00,235.0,5990.0,68.0,318.0,9633.0,184.0,0.0,69.0,0.0,1049.0
2015-09-01 23:00:00+02:00,233.0,4926.0,69.0,315.0,8984.0,184.0,0.0,61.0,0.0,994.0
2015-09-02 00:00:00+02:00,235.0,4058.0,70.0,265.0,8657.0,183.0,0.0,61.0,0.0,1296.0
2015-09-02 01:00:00+02:00,235.0,4162.0,70.0,261.0,8469.0,183.0,0.0,61.0,0.0,1402.0
2015-09-02 02:00:00+02:00,235.0,4118.0,71.0,262.0,8379.0,185.0,0.0,61.0,0.0,1502.0
2015-09-02 03:00:00+02:00,235.0,4181.0,72.0,262.0,8265.0,185.0,0.0,61.0,0.0,1569.0
2015-09-02 04:00:00+02:00,235.0,4265.0,73.0,261.0,8400.0,185.0,0.0,61.0,0.0,1523.0
2015-09-02 05:00:00+02:00,235.0,4336.0,72.0,263.0,8592.0,185.0,0.0,60.0,0.0,1587.0
2015-09-02 06:00:00+02:00,235.0,5205.0,72.0,314.0,8875.0,185.0,0.0,59.0,0.0,1680.0
2015-09-02 07:00:00+02:00,236.0,5730.0,72.0,337.0,9954.0,184.0,0.0,59.0,0.0,1525.0
2015-09-02 08:00:00+02:00,235.0,5730.0,73.0,337.0,10476.0,184.0,0.0,65.0,0.0,1576.0
2015-09-02 09:00:00+02:00,236.0,6055.0,72.0,334.0,10808.0,183.0,0.0,69.0,0.0,1537.0
2015-09-02 10:00:00+02:00,236.0,6231.0,71.0,332.0,10958.0,183.0,0.0,74.0,0.0,1406.0
2015-09-02 11:00:00+02:00,236.0,6327.0,71.0,331.0,11211.0,182.0,142.0,74.0,34.0,1244.0
2015-09-02 12:00:00+02:00,236.0,6394.0,72.0,330.0,11478.0,182.0,163.0,76.0,39.0,1121.0
2015-09-02 13:00:00+02:00,236.0,6397.0,72.0,329.0,11585.0,180.0,101.0,77.0,5.0,1036.0
2015-09-02 14:00:00+02:00,236.0,6404.0,71.0,330.0,11411.0,180.0,0.0,68.0,0.0,939.0
2015-09-02 15:00:00+02:00,236.0,6175.0,70.0,331.0,11325.0,180.0,148.0,63.0,0.0,783.0
2015-09-02 16:00:00+02:00,236.0,6180.0,68.0,332.0,11151.0,180.0,102.0,64.0,0.0,618.0
2015-09-02 17:00:00+02:00,236.0,5834.0,68.0,332.0,11109.0,179.0,0.0,63.0,0.0,430.0
2015-09-02 18:00:00+02:00,236.0,5755.0,68.0,335.0,10797.0,180.0,0.0,58.0,0.0,268.0
2015-09-02 19:00:00+02:00,236.0,6178.0,69.0,336.0,10897.0,180.0,17.0,63.0,0.0,183.0
2015-09-02 20:00:00+02:00,236.0,6367.0,69.0,338.0,11405.0,184.0,204.0,78.0,0.0,206.0
2015-09-02 21:00:00+02:00,236.0,6041.0,69.0,339.0,10657.0,184.0,21.0,75.0,0.0,189.0
2015-09-02 22:00:00+02:00,235.0,6057.0,70.0,333.0,9728.0,183.0,0.0,65.0,0.0,179.0
2015-09-02 23:00:00+02:00,235.0,5047.0,70.0,331.0,9083.0,182.0,0.0,64.0,0.0,219.0
2015-09-03 00:00:00+02:00,235.0,4763.0,70.0,311.0,8602.0,181.0,0.0,64.0,0.0,217.0
2015-09-03 01:00:00+02:00,235.0,4509.0,71.0,308.0,8649.0,182.0,0.0,64.0,0.0,184.0
2015-09-03 02:00:00+02:00,235.0,4431.0,72.0,309.0,8518.0,182.0,0.0,64.0,0.0,163.0
2015-09-03 03:00:00+02:00,235.0,4444.0,72.0,309.0,8528.0,182.0,0.0,64.0,0.0,135.0
2015-09-03 04:00:00+02:00,235.0,4404.0,72.0,311.0,8437.0,182.0,0.0,65.0,0.0,126.0
2015-09-03 05:00:00+02:00,235.0,4618.0,69.0,310.0,8593.0,181.0,0.0,65.0,0.0,121.0
2015-09-03 06:00:00+02:00,235.0,5771.0,71.0,323.0,9764.0,180.0,0.0,64.0,0.0,114.0
2015-09-03 07:00:00+02:00,237.0,5843.0,68.0,340.0,10653.0,180.0,0.0,65.0,0.0,115.0
2015-09-03 08:00:00+02:00,237.0,5819.0,69.0,341.0,11223.0,179.0,0.0,64.0,0.0,79.0
2015-09-03 09:00:00+02:00,237.0,6080.0,71.0,340.0,11341.0,182.0,0.0,68.0,0.0,23.0
2015-09-03 10:00:00+02:00,237.0,6133.0,72.0,337.0,11465.0,184.0,0.0,71.0,0.0,31.0
2015-09-03 11:00:00+02:00,237.0,6112.0,71.0,336.0,11644.0,185.0,0.0,77.0,0.0,37.0
2015-09-03 12:00:00+02:00,237.0,6080.0,73.0,336.0,11659.0,185.0,58.0,76.0,34.0,39.0
2015-09-03 13:00:00+02:00,237.0,6141.0,68.0,334.0,11589.0,184.0,88.0,75.0,39.0,50.0
2015-09-03 14:00:00+02:00,237.0,6101.0,67.0,333.0,11114.0,184.0,11.0,75.0,5.0,47.0
2015-09-03 15:00:00+02:00,237.0,6135.0,71.0,333.0,11099.0,184.0,108.0,75.0,0.0,75.0
2015-09-03 16:00:00+02:00,236.0,6157.0,72.0,333.0,10898.0,184.0,0.0,75.0,0.0,70.0
2015-09-03 17:00:00+02:00,237.0,5905.0,71.0,333.0,10712.0,184.0,0.0,76.0,0.0,80.0
2015-09-03 18:00:00+02:00,237.0,5891.0,69.0,336.0,10387.0,183.0,0.0,76.0,0.0,148.0
2015-09-03 19:00:00+02:00,237.0,6043.0,69.0,337.0,11060.0,183.0,42.0,80.0,0.0,188.0
2015-09-03 20:00:00+02:00,237.0,5993.0,69.0,339.0,11584.0,184.0,173.0,80.0,0.0,325.0
2015-09-03 21:00:00+02:00,237.0,5962.0,67.0,340.0,10403.0,185.0,11.0,75.0,0.0,412.0
2015-09-03 22:00:00+02:00,235.0,6027.0,68.0,333.0,9241.0,184.0,0.0,71.0,0.0,471.0
2015-09-03 23:00:00+02:00,235.0,4907.0,68.0,324.0,8690.0,185.0,0.0,65.0,0.0,526.0
2015-09-04 00:00:00+02:00,234.0,4654.0,69.0,312.0,8394.0,187.0,0.0,61.0,0.0,516.0
2015-09-04 01:00:00+02:00,233.0,4267.0,70.0,308.0,8311.0,187.0,0.0,58.0,0.0,443.0
2015-09-04 02:00:00+02:00,234.0,4152.0,71.0,269.0,8258.0,187.0,0.0,58.0,0.0,377.0
2015-09-04 03:00:00+02:00,235.0,4073.0,72.0,266.0,8308.0,186.0,0.0,58.0,0.0,375.0
2015-09-04 04:00:00+02:00,235.0,4243.0,72.0,268.0,8369.0,187.0,0.0,59.0,0.0,294.0
2015-09-04 05:00:00+02:00,234.0,4751.0,73.0,308.0,8401.0,188.0,0.0,59.0,0.0,253.0
2015-09-04 06:00:00+02:00,235.0,5741.0,74.0,332.0,9286.0,186.0,0.0,59.0,0.0,232.0
2015-09-04 07:00:00+02:00,237.0,5911.0,74.0,341.0,10609.0,187.0,0.0,59.0,0.0,261.0
2015-09-04 08:00:00+02:00,237.0,6086.0,76.0,342.0,11175.0,188.0,0.0,65.0,0.0,241.0
2015-09-04 09:00:00+02:00,237.0,6274.0,74.0,341.0,11367.0,186.0,0.0,67.0,0.0,195.0
2015-09-04 10:00:00+02:00,237.0,6264.0,74.0,340.0,11719.0,185.0,50.0,70.0,0.0,194.0
2015-09-04 11:00:00+02:00,237.0,6275.0,72.0,338.0,11956.0,180.0,292.0,71.0,34.0,206.0
2015-09-04 12:00:00+02:00,237.0,6173.0,70.0,337.0,11969.0,189.0,373.0,79.0,39.0,229.0
2015-09-04 13:00:00+02:00,237.0,6159.0,64.0,339.0,11756.0,187.0,396.0,80.0,39.0,311.0
2015-09-04 14:00:00+02:00,237.0,6052.0,61.0,339.0,11595.0,188.0,356.0,68.0,5.0,329.0
2015-09-04 15:00:00+02:00,237.0,6032.0,63.0,340.0,11517.0,188.0,196.0,67.0,0.0,367.0
2015-09-04 16:00:00+02:00,237.0,5968.0,65.0,341.0,11558.0,187.0,76.0,69.0,0.0,250.0
2015-09-04 17:00:00+02:00,237.0,5968.0,66.0,341.0,11187.0,186.0,17.0,68.0,0.0,298.0
2015-09-04 18:00:00+02:00,237.0,5951.0,66.0,341.0,10754.0,179.0,0.0,72.0,0.0,243.0
2015-09-04 19:00:00+02:00,237.0,6071.0,69.0,342.0,11218.0,193.0,115.0,74.0,0.0,221.0
2015-09-04 20:00:00+02:00,237.0,6164.0,71.0,342.0,11692.0,195.0,300.0,85.0,0.0,390.0
2015-09-04 21:00:00+02:00,237.0,6087.0,71.0,343.0,10639.0,193.0,15.0,88.0,0.0,495.0
2015-09-04 22:00:00+02:00,235.0,5727.0,72.0,335.0,9153.0,184.0,0.0,63.0,0.0,711.0
2015-09-04 23:00:00+02:00,235.0,5599.0,73.0,333.0,8453.0,185.0,0.0,60.0,0.0,800.0
2015-09-05 00:00:00+02:00,235.0,5337.0,73.0,313.0,7453.0,193.0,0.0,60.0,0.0,696.0
2015-09-05 01:00:00+02:00,235.0,4900.0,73.0,311.0,7365.0,192.0,0.0,60.0,0.0,782.0
2015-09-05 02:00:00+02:00,235.0,4585.0,72.0,311.0,7292.0,192.0,0.0,60.0,0.0,1004.0
2015-09-05 03:00:00+02:00,235.0,4351.0,72.0,310.0,7186.0,192.0,0.0,60.0,0.0,1206.0
2015-09-05 04:00:00+02:00,235.0,4281.0,71.0,278.0,7262.0,192.0,0.0,60.0,0.0,1278.0
2015-09-05 05:00:00+02:00,235.0,4037.0,72.0,268.0,7258.0,191.0,0.0,60.0,0.0,1357.0
2015-09-05 06:00:00+02:00,235.0,4294.0,73.0,272.0,7231.0,188.0,0.0,59.0,0.0,1418.0
2015-09-05 07:00:00+02:00,237.0,4537.0,73.0,326.0,7753.0,180.0,0.0,60.0,0.0,1426.0
2015-09-05 08:00:00+02:00,236.0,5120.0,73.0,344.0,8278.0,187.0,60.0,64.0,0.0,1416.0
2015-09-05 09:00:00+02:00,237.0,5489.0,73.0,345.0,8703.0,188.0,161.0,72.0,0.0,1660.0
2015-09-05 10:00:00+02:00,237.0,5430.0,72.0,343.0,8780.0,188.0,149.0,72.0,34.0,2189.0
2015-09-05 11:00:00+02:00,237.0,5095.0,9.0,342.0,8664.0,189.0,252.0,72.0,39.0,2548.0
2015-09-05 12:00:00+02:00,237.0,5125.0,0.0,341.0,8588.0,189.0,301.0,72.0,5.0,2709.0
2015-09-05 13:00:00+02:00,237.0,5060.0,0.0,340.0,8658.0,188.0,152.0,73.0,0.0,2704.0
2015-09-05 14:00:00+02:00,237.0,5008.0,0.0,338.0,8439.0,188.0,16.0,69.0,0.0,2691.0
2015-09-05 15:00:00+02:00,236.0,4907.0,11.0,330.0,8336.0,189.0,0.0,67.0,0.0,2607.0
2015-09-05 16:00:00+02:00,237.0,4494.0,36.0,330.0,8266.0,189.0,0.0,70.0,0.0,2520.0
2015-09-05 17:00:00+02:00,237.0,4305.0,54.0,332.0,8163.0,190.0,30.0,70.0,0.0,2360.0
2015-09-05 18:00:00+02:00,237.0,4691.0,63.0,335.0,8076.0,188.0,79.0,74.0,0.0,1939.0
