,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2015-01-01 00:00:00+01:00,4022.0,15859.0,,1269.0,3222.0,177.0,10.0,1470.0,1153.0,0.0,10742.0,4520.0,123.0,0.0,243.0,520.0,8113.0
2015-01-01 00:15:00+01:00,4028.0,15803.0,,1265.0,3332.0,177.0,10.0,1311.0,1151.0,0.0,10585.0,4433.0,123.0,0.0,245.0,517.0,8092.0
2015-01-01 00:30:00+01:00,4026.0,15649.0,,1254.0,3225.0,177.0,10.0,1440.0,1146.0,25.0,10643.0,4449.0,123.0,0.0,248.0,514.0,8161.0
2015-01-01 00:45:00+01:00,4021.0,15438.0,,1117.0,3100.0,175.0,10.0,1118.0,1142.0,16.0,10872.0,4544.0,123.0,0.0,249.0,515.0,8146.0
2015-01-01 01:00:00+01:00,3996.0,15552.0,,1046.0,2534.0,175.0,10.0,740.0,1131.0,50.0,11089.0,4569.0,123.0,0.0,245.0,515.0,8183.0
2015-01-01 01:15:00+01:00,3980.0,15523.0,,837.0,2309.0,174.0,10.0,880.0,1128.0,75.0,11101.0,4460.0,120.0,0.0,244.0,517.0,8301.0
2015-01-01 01:30:00+01:00,3978.0,15238.0,,808.0,2280.0,175.0,10.0,924.0,1126.0,73.0,11097.0,4413.0,107.0,0.0,243.0,517.0,8297.0
2015-01-01 01:45:00+01:00,3977.0,14974.0,,792.0,2282.0,174.0,10.0,850.0,1124.0,45.0,11058.0,4619.0,100.0,0.0,240.0,516.0,8409.0
2015-01-01 02:00:00+01:00,4004.0,15063.0,,832.0,2218.0,173.0,10.0,695.0,1122.0,51.0,11096.0,4640.0,97.0,0.0,242.0,516.0,8538.0
2015-01-01 02:15:00+01:00,4023.0,14915.0,,813.0,2212.0,173.0,10.0,654.0,1121.0,16.0,11053.0,4617.0,83.0,0.0,238.0,516.0,8535.0
2015-01-01 02:30:00+01:00,4024.0,14753.0,,800.0,2207.0,173.0,10.0,538.0,1118.0,3.0,10999.0,4605.0,76.0,0.0,231.0,513.0,8515.0
