,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2015-09-01 00:00:00+02:00,9.0,118.0,159.0,11.0,0.0,156.0,561.0,892.0
2015-09-01 01:00:00+02:00,5.0,90.0,169.0,6.0,0.0,154.0,624.0,821.0
2015-09-01 02:00:00+02:00,3.0,91.0,174.0,6.0,0.0,154.0,628.0,745.0
2015-09-01 03:00:00+02:00,4.0,103.0,189.0,10.0,0.0,153.0,570.0,624.0
2015-09-01 04:00:00+02:00,5.0,120.0,209.0,14.0,0.0,157.0,342.0,546.0
2015-09-01 05:00:00+02:00,4.0,107.0,181.0,9.0,0.0,156.0,311.0,484.0
2015-09-01 06:00:00+02:00,5.0,165.0,240.0,12.0,1.0,166.0,327.0,413.0
2015-09-01 07:00:00+02:00,7.0,211.0,393.0,9.0,11.0,166.0,418.0,345.0
2015-09-01 08:00:00+02:00,22.0,493.0,555.0,25.0,30.0,172.0,468.0,286.0
2015-09-01 09:00:00+02:00,44.0,446.0,532.0,18.0,48.0,167.0,493.0,258.0
2015-09-01 10:00:00+02:00,47.0,399.0,538.0,56.0,66.0,165.0,508.0,295.0
2015-09-01 11:00:00+02:00,48.0,388.0,558.0,19.0,87.0,171.0,508.0,331.0
2015-09-01 12:00:00+02:00,48.0,506.0,573.0,23.0,88.0,173.0,564.0,374.0
2015-09-01 13:00:00+02:00,42.0,421.0,581.0,24.0,86.0,174.0,605.0,478.0
2015-09-01 14:00:00+02:00,33.0,261.0,537.0,16.0,92.0,171.0,636.0,602.0
2015-09-01 15:00:00+02:00,40.0,307.0,526.0,15.0,84.0,172.0,667.0,727.0
2015-09-01 16:00:00+02:00,39.0,229.0,501.0,12.0,61.0,171.0,685.0,794.0
2015-09-01 17:00:00+02:00,38.0,193.0,489.0,10.0,45.0,171.0,733.0,898.0
2015-09-01 18:00:00+02:00,37.0,206.0,325.0,8.0,30.0,169.0,747.0,1014.0
2015-09-01 19:00:00+02:00,25.0,139.0,435.0,7.0,13.0,169.0,928.0,1175.0
2015-09-01 20:00:00+02:00,14.0,109.0,291.0,6.0,11.0,168.0,1031.0,1310.0
2015-09-01 21:00:00+02:00,14.0,107.0,185.0,6.0,11.0,169.0,1091.0,1508.0
2015-09-01 22:00:00+02:00,9.0,113.0,170.0,8.0,11.0,170.0,1045.0,1596.0
2015-09-01 23:00:00+02:00,8.0,106.0,37.0,5.0,11.0,166.0,1108.0,1696.0
2015-09-02 00:00:00+02:00,8.0,111.0,45.0,6.0,11.0,169.0,1062.0,1721.0
2015-09-02 01:00:00+02:00,10.0,134.0,76.0,12.0,11.0,169.0,1060.0,1746.0
2015-09-02 02:00:00+02:00,9.0,123.0,55.0,8.0,11.0,165.0,1062.0,1714.0
2015-09-02 03:00:00+02:00,9.0,119.0,51.0,7.0,11.0,164.0,994.0,1659.0
2015-09-02 04:00:00+02:00,9.0,117.0,48.0,6.0,11.0,165.0,1007.0,1570.0
2015-09-02 05:00:00+02:00,9.0,116.0,48.0,6.0,11.0,169.0,1011.0,1561.0
2015-09-02 06:00:00+02:00,12.0,100.0,53.0,6.0,11.0,170.0,1001.0,1504.0
2015-09-02 07:00:00+02:00,16.0,111.0,58.0,7.0,11.0,171.0,1000.0,1583.0
2015-09-02 08:00:00+02:00,20.0,102.0,59.0,7.0,11.0,172.0,1028.0,1741.0
2015-09-02 09:00:00+02:00,25.0,128.0,113.0,18.0,125.0,179.0,1028.0,1969.0
2015-09-02 10:00:00+02:00,29.0,178.0,191.0,33.0,233.0,183.0,1018.0,2034.0
2015-09-02 11:00:00+02:00,30.0,177.0,188.0,33.0,277.0,183.0,953.0,2073.0
2015-09-02 12:00:00+02:00,33.0,183.0,201.0,36.0,300.0,183.0,1132.0,2254.0
2015-09-02 13:00:00+02:00,32.0,178.0,203.0,36.0,311.0,183.0,927.0,2143.0
2015-09-02 14:00:00+02:00,31.0,179.0,244.0,38.0,300.0,172.0,852.0,2120.0
2015-09-02 15:00:00+02:00,22.0,164.0,255.0,33.0,285.0,186.0,894.0,2146.0
2015-09-02 16:00:00+02:00,19.0,142.0,235.0,27.0,227.0,186.0,916.0,2083.0
2015-09-02 17:00:00+02:00,17.0,118.0,197.0,20.0,155.0,184.0,893.0,1955.0
2015-09-02 18:00:00+02:00,16.0,96.0,155.0,12.0,71.0,183.0,986.0,1814.0
2015-09-02 19:00:00+02:00,17.0,98.0,175.0,14.0,15.0,182.0,911.0,1491.0
2015-09-02 20:00:00+02:00,16.0,98.0,172.0,13.0,0.0,180.0,929.0,1308.0
2015-09-02 21:00:00+02:00,14.0,75.0,127.0,8.0,0.0,176.0,921.0,1268.0
2015-09-02 22:00:00+02:00,18.0,87.0,140.0,13.0,0.0,173.0,919.0,1227.0
2015-09-02 23:00:00+02:00,16.0,71.0,115.0,5.0,0.0,169.0,955.0,1229.0
2015-09-03 00:00:00+02:00,16.0,83.0,132.0,9.0,0.0,177.0,951.0,1169.0
