,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2015-10-01 00:00:00+02:00,0.0,153.0,,422.0,1375.0,0.0,15.0
2015-10-01 01:00:00+02:00,0.0,52.0,,417.0,1375.0,0.0,16.0
2015-10-01 02:00:00+02:00,0.0,1.0,,484.0,1377.0,0.0,14.0
2015-10-01 03:00:00+02:00,0.0,0.0,,426.0,1377.0,0.0,11.0
2015-10-01 04:00:00+02:00,0.0,0.0,,346.0,1332.0,0.0,8.0
2015-10-01 05:00:00+02:00,0.0,123.0,,497.0,1323.0,0.0,9.0
2015-10-01 06:00:00+02:00,0.0,583.0,,1079.0,1352.0,0.0,10.0
2015-10-01 07:00:00+02:00,0.0,796.0,,2181.0,1371.0,1.0,10.0
2015-10-01 08:00:00+02:00,0.0,818.0,,2095.0,1371.0,10.0,5.0
2015-10-01 09:00:00+02:00,0.0,738.0,,1639.0,1370.0,30.0,1.0
2015-10-01 10:00:00+02:00,2.0,676.0,,1020.0,1371.0,57.0,1.0
2015-10-01 11:00:00+02:00,14.0,647.0,,903.0,1370.0,90.0,1.0
2015-10-01 12:00:00+02:00,28.0,663.0,,791.0,1370.0,112.0,2.0
2015-10-01 13:00:00+02:00,1.0,226.0,,587.0,1368.0,118.0,1.0
2015-10-01 14:00:00+02:00,0.0,241.0,,498.0,1366.0,114.0,1.0
2015-10-01 15:00:00+02:00,0.0,104.0,,429.0,1365.0,96.0,3.0
2015-10-01 16:00:00+02:00,0.0,4.0,,522.0,1365.0,69.0,4.0
2015-10-01 17:00:00+02:00,0.0,9.0,,433.0,1363.0,35.0,2.0
2015-10-01 18:00:00+02:00,0.0,409.0,,1205.0,1361.0,7.0,3.0
2015-10-01 19:00:00+02:00,0.0,801.0,,2488.0,1362.0,0.0,6.0
2015-10-01 20:00:00+02:00,0.0,765.0,,2244.0,1364.0,0.0,9.0
2015-10-01 21:00:00+02:00,0.0,569.0,,765.0,1364.0,0.0,13.0
2015-10-01 22:00:00+02:00,0.0,367.0,,515.0,1364.0,0.0,12.0
2015-10-01 23:00:00+02:00,0.0,221.0,,510.0,1365.0,0.0,9.0
2015-10-02 00:00:00+02:00,0.0,217.0,,488.0,1364.0,0.0,11.0
2015-10-02 01:00:00+02:00,0.0,172.0,,446.0,1366.0,0.0,11.0
2015-10-02 02:00:00+02:00,0.0,131.0,,459.0,1367.0,0.0,6.0
2015-10-02 03:00:00+02:00,0.0,0.0,,383.0,1367.0,0.0,4.0
2015-10-02 04:00:00+02:00,0.0,0.0,,459.0,1369.0,0.0,6.0
2015-10-02 05:00:00+02:00,0.0,72.0,,481.0,1368.0,0.0,5.0
2015-10-02 06:00:00+02:00,0.0,450.0,,1056.0,1369.0,0.0,5.0
2015-10-02 07:00:00+02:00,0.0,793.0,,2398.0,1369.0,1.0,5.0
2015-10-02 08:00:00+02:00,0.0,825.0,,2251.0,1373.0,20.0,4.0
2015-10-02 09:00:00+02:00,0.0,627.0,,1520.0,1368.0,59.0,3.0
2015-10-02 10:00:00+02:00,0.0,278.0,,1431.0,1363.0,96.0,1.0
2015-10-02 11:00:00+02:00,0.0,255.0,,1167.0,1361.0,120.0,1.0
2015-10-02 12:00:00+02:00,0.0,255.0,,1101.0,1360.0,133.0,0.0
2015-10-02 13:00:00+02:00,0.0,430.0,,869.0,1359.0,131.0,1.0
2015-10-02 14:00:00+02:00,0.0,20.0,,478.0,1356.0,122.0,1.0
2015-10-02 15:00:00+02:00,0.0,35.0,,442.0,1356.0,98.0,1.0
2015-10-02 16:00:00+02:00,0.0,40.0,,669.0,1355.0,54.0,0.0
