,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2015-05-01 00:00:00+02:00,348.0,1445.0,10886.0,48.0,46.0
2015-05-01 01:00:00+02:00,349.0,1464.0,9719.0,48.0,50.0
2015-05-01 02:00:00+02:00,349.0,1447.0,9170.0,48.0,50.0
2015-05-01 03:00:00+02:00,348.0,1443.0,8881.0,48.0,71.0
2015-05-01 04:00:00+02:00,351.0,1426.0,8797.0,48.0,80.0
2015-05-01 05:00:00+02:00,350.0,1442.0,8996.0,48.0,110.0
2015-05-01 06:00:00+02:00,352.0,1438.0,9237.0,48.0,106.0
2015-05-01 07:00:00+02:00,351.0,1434.0,10146.0,48.0,123.0
2015-05-01 08:00:00+02:00,350.0,1422.0,11987.0,48.0,107.0
2015-05-01 09:00:00+02:00,352.0,1423.0,13026.0,48.0,94.0
2015-05-01 10:00:00+02:00,351.0,1419.0,13311.0,49.0,122.0
2015-05-01 11:00:00+02:00,351.0,1432.0,13322.0,47.0,118.0
2015-05-01 12:00:00+02:00,351.0,1421.0,13165.0,48.0,121.0
2015-05-01 13:00:00+02:00,352.0,1406.0,12566.0,55.0,128.0
2015-05-01 14:00:00+02:00,353.0,1400.0,11968.0,54.0,123.0
2015-05-01 15:00:00+02:00,353.0,1401.0,11662.0,54.0,126.0
2015-05-01 16:00:00+02:00,353.0,1399.0,11515.0,50.0,161.0
2015-05-01 17:00:00+02:00,353.0,1400.0,11894.0,52.0,176.0
2015-05-01 18:00:00+02:00,354.0,1396.0,12337.0,51.0,174.0
2015-05-01 19:00:00+02:00,354.0,1393.0,12863.0,51.0,171.0
2015-05-01 20:00:00+02:00,354.0,1397.0,13229.0,45.0,162.0
2015-05-01 21:00:00+02:00,354.0,1406.0,13662.0,49.0,147.0
2015-05-01 22:00:00+02:00,354.0,1373.0,13018.0,47.0,141.0
2015-05-01 23:00:00+02:00,353.0,1378.0,11714.0,47.0,125.0
2015-05-02 00:00:00+02:00,353.0,1395.0,9823.0,45.0,98.0
2015-05-02 01:00:00+02:00,354.0,1401.0,8408.0,51.0,101.0
2015-05-02 02:00:00+02:00,352.0,1396.0,8033.0,51.0,108.0
2015-05-02 03:00:00+02:00,353.0,1401.0,8020.0,54.0,109.0
2015-05-02 04:00:00+02:00,355.0,1403.0,8166.0,56.0,112.0
2015-05-02 05:00:00+02:00,353.0,1389.0,8064.0,65.0,99.0
2015-05-02 06:00:00+02:00,352.0,1395.0,8685.0,65.0,91.0
2015-05-02 07:00:00+02:00,354.0,1395.0,9810.0,62.0,86.0
2015-05-02 08:00:00+02:00,353.0,1374.0,11837.0,61.0,90.0
2015-05-02 09:00:00+02:00,353.0,1383.0,12377.0,55.0,78.0
2015-05-02 10:00:00+02:00,355.0,1377.0,12444.0,59.0,96.0
2015-05-02 11:00:00+02:00,354.0,1377.0,12201.0,58.0,132.0
2015-05-02 12:00:00+02:00,353.0,1367.0,11418.0,51.0,137.0
2015-05-02 13:00:00+02:00,353.0,1355.0,10557.0,49.0,174.0
2015-05-02 14:00:00+02:00,352.0,1379.0,10490.0,53.0,191.0
2015-05-02 15:00:00+02:00,355.0,1378.0,10753.0,53.0,201.0
2015-05-02 16:00:00+02:00,353.0,1364.0,11254.0,53.0,198.0
2015-05-02 17:00:00+02:00,353.0,1359.0,12498.0,61.0,207.0
2015-05-02 18:00:00+02:00,354.0,1368.0,13388.0,64.0,203.0
2015-05-02 19:00:00+02:00,353.0,1353.0,13351.0,58.0,170.0
2015-05-02 20:00:00+02:00,354.0,1347.0,13352.0,52.0,175.0
2015-05-02 21:00:00+02:00,354.0,1361.0,13831.0,59.0,173.0
2015-05-02 22:00:00+02:00,355.0,1367.0,13242.0,70.0,182.0
2015-05-02 23:00:00+02:00,354.0,1362.0,12528.0,65.0,199.0
2015-05-03 00:00:00+02:00,355.0,1343.0,10243.0,61.0,204.0
2015-05-03 01:00:00+02:00,353.0,1347.0,9385.0,67.0,206.0
2015-05-03 02:00:00+02:00,353.0,1356.0,8875.0,59.0,185.0
2015-05-03 03:00:00+02:00,354.0,1360.0,8624.0,65.0,200.0
2015-05-03 04:00:00+02:00,353.0,1355.0,8555.0,58.0,167.0
2015-05-03 05:00:00+02:00,355.0,1343.0,8262.0,57.0,161.0
2015-05-03 06:00:00+02:00,355.0,1335.0,8018.0,63.0,137.0
2015-05-03 07:00:00+02:00,354.0,1337.0,8936.0,73.0,168.0
2015-05-03 08:00:00+02:00,354.0,1347.0,10342.0,77.0,163.0
2015-05-03 09:00:00+02:00,355.0,1344.0,11148.0,73.0,129.0
2015-05-03 10:00:00+02:00,355.0,1350.0,11458.0,69.0,148.0
2015-05-03 11:00:00+02:00,353.0,1337.0,11434.0,66.0,158.0
2015-05-03 12:00:00+02:00,354.0,1347.0,11025.0,72.0,168.0
2015-05-03 13:00:00+02:00,354.0,1325.0,10139.0,90.0,173.0
2015-05-03 14:00:00+02:00,353.0,1322.0,9649.0,89.0,187.0
2015-05-03 15:00:00+02:00,354.0,1319.0,9533.0,91.0,185.0
2015-05-03 16:00:00+02:00,353.0,1324.0,9485.0,91.0,202.0
2015-05-03 17:00:00+02:00,355.0,1337.0,9921.0,93.0,202.0
2015-05-03 18:00:00+02:00,355.0,1314.0,10570.0,90.0,188.0
2015-05-03 19:00:00+02:00,353.0,1313.0,10582.0,92.0,226.0
2015-05-03 20:00:00+02:00,354.0,1317.0,10532.0,94.0,246.0
2015-05-03 21:00:00+02:00,354.0,1323.0,10628.0,91.0,242.0
2015-05-03 22:00:00+02:00,354.0,1313.0,10143.0,93.0,253.0
2015-05-03 23:00:00+02:00,354.0,1311.0,8884.0,96.0,262.0
2015-05-04 00:00:00+02:00,353.0,1341.0,8155.0,95.0,295.0
2015-05-04 01:00:00+02:00,355.0,1339.0,7991.0,99.0,294.0
2015-05-04 02:00:00+02:00,354.0,1336.0,7798.0,95.0,293.0
2015-05-04 03:00:00+02:00,353.0,1320.0,7593.0,99.0,285.0
2015-05-04 04:00:00+02:00,355.0,1317.0,7786.0,99.0,329.0
2015-05-04 05:00:00+02:00,355.0,1318.0,9118.0,98.0,351.0
2015-05-04 06:00:00+02:00,355.0,1328.0,13546.0,95.0,342.0
2015-05-04 07:00:00+02:00,355.0,1334.0,16120.0,93.0,343.0
2015-05-04 08:00:00+02:00,355.0,1340.0,17078.0,94.0,310.0
2015-05-04 09:00:00+02:00,328.0,1339.0,16914.0,95.0,291.0
2015-05-04 10:00:00+02:00,327.0,1362.0,16563.0,92.0,275.0
2015-05-04 11:00:00+02:00,328.0,1376.0,16416.0,97.0,291.0
2015-05-04 12:00:00+02:00,327.0,1359.0,15681.0,97.0,290.0
2015-05-04 13:00:00+02:00,327.0,1369.0,15437.0,95.0,320.0
2015-05-04 14:00:00+02:00,323.0,1379.0,15377.0,88.0,289.0
2015-05-04 15:00:00+02:00,323.0,1381.0,15576.0,57.0,311.0
2015-05-04 16:00:00+02:00,325.0,1378.0,15492.0,69.0,289.0
2015-05-04 17:00:00+02:00,323.0,1381.0,15988.0,61.0,270.0
2015-05-04 18:00:00+02:00,322.0,1370.0,16147.0,65.0,258.0
2015-05-04 19:00:00+02:00,324.0,1378.0,16253.0,86.0,246.0
2015-05-04 20:00:00+02:00,324.0,1378.0,16279.0,77.0,211.0
2015-05-04 21:00:00+02:00,349.0,1392.0,16334.0,89.0,180.0
2015-05-04 22:00:00+02:00,350.0,1374.0,15221.0,82.0,174.0
2015-05-04 23:00:00+02:00,348.0,1373.0,13350.0,59.0,160.0
2015-05-05 00:00:00+02:00,347.0,1397.0,11012.0,59.0,188.0
2015-05-05 01:00:00+02:00,347.0,1386.0,9136.0,55.0,190.0
2015-05-05 02:00:00+02:00,347.0,1380.0,8816.0,66.0,179.0
2015-05-05 03:00:00+02:00,348.0,1386.0,8552.0,80.0,184.0
2015-05-05 04:00:00+02:00,347.0,1396.0,8652.0,85.0,191.0
2015-05-05 05:00:00+02:00,347.0,1399.0,9920.0,70.0,180.0
2015-05-05 06:00:00+02:00,346.0,1423.0,12958.0,84.0,192.0
2015-05-05 07:00:00+02:00,348.0,1413.0,16495.0,91.0,201.0
2015-05-05 08:00:00+02:00,347.0,1418.0,17107.0,86.0,198.0
2015-05-05 09:00:00+02:00,318.0,1419.0,16609.0,96.0,201.0
2015-05-05 10:00:00+02:00,321.0,1429.0,16030.0,88.0,211.0
2015-05-05 11:00:00+02:00,321.0,1420.0,15536.0,64.0,216.0
2015-05-05 12:00:00+02:00,319.0,1436.0,15256.0,62.0,235.0
2015-05-05 13:00:00+02:00,318.0,1432.0,14574.0,59.0,243.0
2015-05-05 14:00:00+02:00,302.0,1439.0,13678.0,56.0,261.0
2015-05-05 15:00:00+02:00,319.0,1442.0,13673.0,58.0,278.0
2015-05-05 16:00:00+02:00,321.0,1438.0,13142.0,57.0,327.0
2015-05-05 17:00:00+02:00,317.0,1453.0,13435.0,55.0,374.0
2015-05-05 18:00:00+02:00,315.0,1447.0,14043.0,56.0,412.0
2015-05-05 19:00:00+02:00,312.0,1445.0,13716.0,63.0,394.0
2015-05-05 20:00:00+02:00,312.0,1445.0,13150.0,62.0,374.0
2015-05-05 21:00:00+02:00,315.0,1436.0,12748.0,67.0,337.0
2015-05-05 22:00:00+02:00,312.0,1436.0,11104.0,66.0,342.0
2015-05-05 23:00:00+02:00,313.0,1441.0,9259.0,67.0,457.0
2015-05-06 00:00:00+02:00,314.0,1466.0,7864.0,77.0,481.0
2015-05-06 01:00:00+02:00,313.0,1479.0,7346.0,89.0,441.0
2015-05-06 02:00:00+02:00,314.0,1479.0,7094.0,96.0,421.0
2015-05-06 03:00:00+02:00,314.0,1453.0,6712.0,72.0,430.0
2015-05-06 04:00:00+02:00,314.0,1467.0,6619.0,99.0,464.0
2015-05-06 05:00:00+02:00,314.0,1477.0,8292.0,100.0,444.0
2015-05-06 06:00:00+02:00,313.0,1481.0,11799.0,96.0,446.0
2015-05-06 07:00:00+02:00,313.0,1498.0,14569.0,91.0,437.0
