,Solar
2015-12-01 00:00:00+01:00,0.0
2015-12-01 01:00:00+01:00,0.0
2015-12-01 02:00:00+01:00,0.0
2015-12-01 03:00:00+01:00,0.0
2015-12-01 04:00:00+01:00,0.0
2015-12-01 05:00:00+01:00,0.0
2015-12-01 06:00:00+01:00,0.0
2015-12-01 07:00:00+01:00,7.5440000000000005
2015-12-01 08:00:00+01:00,64.37
2015-12-01 09:00:00+01:00,148.133
2015-12-01 10:00:00+01:00,219.80100000000002
2015-12-01 11:00:00+01:00,256.291
2015-12-01 12:00:00+01:00,253.38000000000002
2015-12-01 13:00:00+01:00,212.954
2015-12-01 14:00:00+01:00,141.573
2015-12-01 15:00:00+01:00,55.145
2015-12-01 16:00:00+01:00,5.617
2015-12-01 17:00:00+01:00,1.189
2015-12-01 18:00:00+01:00,1.189
2015-12-01 19:00:00+01:00,1.189
2015-12-01 20:00:00+01:00,1.189
2015-12-01 21:00:00+01:00,1.189
2015-12-01 22:00:00+01:00,1.189
2015-12-01 23:00:00+01:00,1.189
2015-12-02 00:00:00+01:00,0.0
2015-12-02 01:00:00+01:00,0.0
2015-12-02 02:00:00+01:00,0.0
2015-12-02 03:00:00+01:00,0.0
2015-12-02 04:00:00+01:00,0.0
2015-12-02 05:00:00+01:00,0.0
2015-12-02 06:00:00+01:00,0.0
2015-12-02 07:00:00+01:00,8.200000000000001
2015-12-02 08:00:00+01:00,64.69800000000001
2015-12-02 09:00:00+01:00,143.09
2015-12-02 10:00:00+01:00,208.69
2015-12-02 11:00:00+01:00,241.9
2015-12-02 12:00:00+01:00,242.10500000000002
2015-12-02 13:00:00+01:00,216.316
2015-12-02 14:00:00+01:00,142.598
2015-12-02 15:00:00+01:00,54.694
2015-12-02 16:00:00+01:00,3.854
2015-12-02 17:00:00+01:00,0.0
2015-12-02 18:00:00+01:00,0.0
2015-12-02 19:00:00+01:00,0.0
2015-12-02 20:00:00+01:00,0.0
2015-12-02 21:00:00+01:00,0.0
2015-12-02 22:00:00+01:00,0.0
2015-12-02 23:00:00+01:00,0.0
2015-12-03 00:00:00+01:00,0.0
2015-12-03 01:00:00+01:00,0.0
2015-12-03 02:00:00+01:00,0.0
2015-12-03 03:00:00+01:00,0.0
2015-12-03 04:00:00+01:00,0.0
2015-12-03 05:00:00+01:00,0.0
2015-12-03 06:00:00+01:00,0.0
2015-12-03 07:00:00+01:00,4.92
2015-12-03 08:00:00+01:00,45.961
2015-12-03 09:00:00+01:00,103.27900000000001
2015-12-03 10:00:00+01:00,150.347
2015-12-03 11:00:00+01:00,161.622
2015-12-03 12:00:00+01:00,164.328
2015-12-03 13:00:00+01:00,142.27
2015-12-03 14:00:00+01:00,99.753
2015-12-03 15:00:00+01:00,36.326
2015-12-03 16:00:00+01:00,3.567
2015-12-03 17:00:00+01:00,1.189
2015-12-03 18:00:00+01:00,1.189
2015-12-03 19:00:00+01:00,1.189
2015-12-03 20:00:00+01:00,1.189
2015-12-03 21:00:00+01:00,1.189
2015-12-03 22:00:00+01:00,1.189
2015-12-03 23:00:00+01:00,1.189
2015-12-04 00:00:00+01:00,0.0
2015-12-04 01:00:00+01:00,0.0
2015-12-04 02:00:00+01:00,0.0
2015-12-04 03:00:00+01:00,0.0
2015-12-04 04:00:00+01:00,0.0
2015-12-04 05:00:00+01:00,0.0
2015-12-04 06:00:00+01:00,0.0
2015-12-04 07:00:00+01:00,4.1000000000000005
2015-12-04 08:00:00+01:00,36.08
2015-12-04 09:00:00+01:00,83.968
2015-12-04 10:00:00+01:00,122.18
2015-12-04 11:00:00+01:00,136.94
2015-12-04 12:00:00+01:00,131.241
2015-12-04 13:00:00+01:00,104.38600000000001
2015-12-04 14:00:00+01:00,88.15
2015-12-04 15:00:00+01:00,34.440000000000005
2015-12-04 16:00:00+01:00,3.7310000000000003
2015-12-04 17:00:00+01:00,1.189
2015-12-04 18:00:00+01:00,1.189
2015-12-04 19:00:00+01:00,1.189
2015-12-04 20:00:00+01:00,1.189
2015-12-04 21:00:00+01:00,1.189
2015-12-04 22:00:00+01:00,1.189
2015-12-04 23:00:00+01:00,1.189
2015-12-05 00:00:00+01:00,0.0
2015-12-05 01:00:00+01:00,0.0
2015-12-05 02:00:00+01:00,0.0
2015-12-05 03:00:00+01:00,0.0
