,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-10-01 00:00:00+02:00,468.0,0.0,0.0,10306.0,954.0,170.0,0.0,0.0,0.0,476.0,1995.0,0.0,6927.0,58.0,110.0,100.0,325.0,0.0,1177.0
2021-10-01 01:00:00+02:00,475.0,0.0,0.0,9973.0,814.0,168.0,0.0,0.0,0.0,471.0,1562.0,0.0,6924.0,60.0,108.0,43.0,332.0,0.0,1029.0
2021-10-01 02:00:00+02:00,472.0,0.0,0.0,9450.0,710.0,169.0,0.0,0.0,0.0,464.0,1167.0,0.0,6923.0,56.0,106.0,17.0,328.0,0.0,998.0
2021-10-01 03:00:00+02:00,465.0,0.0,0.0,9800.0,575.0,160.0,0.0,0.0,0.0,476.0,957.0,0.0,6924.0,57.0,107.0,17.0,329.0,0.0,1030.0
2021-10-01 04:00:00+02:00,467.0,0.0,0.0,9949.0,553.0,157.0,0.0,0.0,0.0,490.0,1101.0,0.0,6925.0,58.0,106.0,17.0,329.0,0.0,1041.0
2021-10-01 05:00:00+02:00,467.0,0.0,0.0,10342.0,537.0,159.0,0.0,0.0,0.0,488.0,1125.0,0.0,6928.0,58.0,104.0,17.0,326.0,0.0,1265.0
2021-10-01 06:00:00+02:00,467.0,0.0,0.0,10030.0,537.0,159.0,0.0,0.0,0.0,493.0,990.0,0.0,6927.0,57.0,101.0,17.0,331.0,0.0,1567.0
2021-10-01 07:00:00+02:00,469.0,0.0,0.0,11163.0,538.0,161.0,0.0,0.0,0.0,506.0,2840.0,0.0,6933.0,58.0,102.0,54.0,326.0,0.0,1744.0
2021-10-01 08:00:00+02:00,449.0,0.0,0.0,11162.0,537.0,165.0,0.0,0.0,0.0,511.0,3283.0,0.0,6939.0,61.0,108.0,338.0,318.0,0.0,1963.0
2021-10-01 09:00:00+02:00,465.0,0.0,0.0,10809.0,538.0,172.0,0.0,0.0,0.0,511.0,2835.0,0.0,6939.0,63.0,107.0,2451.0,315.0,0.0,1992.0
2021-10-01 10:00:00+02:00,460.0,0.0,0.0,10799.0,542.0,177.0,0.0,0.0,0.0,515.0,2356.0,0.0,6940.0,62.0,109.0,4967.0,313.0,0.0,1692.0
