,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-01 00:00:00+01:00,550.0,0.0,0.0,3684.0,314.0,95.0,0.0,0.0,0.0,573.0,409.0,0.0,5941.0,49.0,95.0,15.0,295.0,0.0,10934.0
2021-11-01 01:00:00+01:00,550.0,0.0,0.0,3991.0,283.0,94.0,0.0,0.0,0.0,565.0,215.0,0.0,5941.0,49.0,93.0,15.0,286.0,0.0,10559.0
2021-11-01 02:00:00+01:00,553.0,0.0,0.0,3941.0,278.0,94.0,0.0,0.0,0.0,553.0,222.0,0.0,5942.0,49.0,91.0,15.0,287.0,0.0,10281.0
2021-11-01 03:00:00+01:00,543.0,0.0,0.0,4044.0,266.0,94.0,0.0,0.0,0.0,557.0,243.0,0.0,5942.0,49.0,91.0,15.0,287.0,0.0,10266.0
2021-11-01 04:00:00+01:00,550.0,0.0,0.0,3995.0,270.0,94.0,0.0,0.0,0.0,573.0,259.0,0.0,5943.0,49.0,94.0,15.0,282.0,0.0,9547.0
2021-11-01 05:00:00+01:00,548.0,0.0,0.0,4132.0,297.0,94.0,0.0,0.0,0.0,576.0,290.0,0.0,5944.0,48.0,95.0,15.0,286.0,0.0,9546.0
2021-11-01 06:00:00+01:00,556.0,0.0,0.0,4509.0,299.0,94.0,0.0,0.0,0.0,579.0,348.0,0.0,5946.0,48.0,92.0,15.0,291.0,0.0,9926.0
2021-11-01 07:00:00+01:00,558.0,0.0,0.0,4673.0,288.0,94.0,0.0,0.0,0.0,581.0,556.0,0.0,5945.0,48.0,93.0,25.0,293.0,0.0,10599.0
2021-11-01 08:00:00+01:00,552.0,0.0,0.0,4620.0,288.0,91.0,0.0,0.0,0.0,598.0,787.0,0.0,5943.0,49.0,90.0,643.0,295.0,0.0,11497.0
2021-11-01 09:00:00+01:00,551.0,0.0,0.0,4636.0,295.0,95.0,0.0,0.0,0.0,595.0,1326.0,0.0,5944.0,50.0,96.0,2222.0,292.0,0.0,11545.0
2021-11-01 10:00:00+01:00,552.0,0.0,0.0,3659.0,319.0,96.0,0.0,0.0,0.0,601.0,1072.0,0.0,5944.0,50.0,98.0,3303.0,294.0,0.0,12185.0
2021-11-01 11:00:00+01:00,552.0,0.0,0.0,3604.0,347.0,96.0,0.0,0.0,0.0,600.0,389.0,0.0,5942.0,50.0,98.0,4309.0,292.0,0.0,13199.0
2021-11-01 12:00:00+01:00,544.0,0.0,0.0,3739.0,360.0,96.0,0.0,0.0,0.0,600.0,396.0,0.0,5938.0,50.0,99.0,4931.0,292.0,0.0,13902.0
2021-11-01 13:00:00+01:00,531.0,0.0,0.0,3683.0,404.0,95.0,0.0,0.0,0.0,606.0,386.0,0.0,5940.0,50.0,98.0,5209.0,295.0,0.0,14549.0
2021-11-01 14:00:00+01:00,518.0,0.0,0.0,3662.0,377.0,95.0,0.0,0.0,0.0,603.0,356.0,0.0,5939.0,50.0,97.0,5219.0,298.0,0.0,15157.0
2021-11-01 15:00:00+01:00,520.0,0.0,0.0,3840.0,332.0,95.0,0.0,0.0,0.0,613.0,366.0,0.0,5941.0,50.0,100.0,4675.0,293.0,0.0,13797.0
2021-11-01 16:00:00+01:00,524.0,0.0,0.0,4164.0,322.0,96.0,0.0,0.0,0.0,615.0,625.0,0.0,5941.0,50.0,101.0,3233.0,294.0,0.0,12771.0
2021-11-01 17:00:00+01:00,515.0,0.0,0.0,4584.0,330.0,116.0,0.0,0.0,0.0,699.0,1247.0,0.0,5946.0,49.0,99.0,1065.0,298.0,0.0,12885.0
2021-11-01 18:00:00+01:00,520.0,0.0,0.0,4520.0,356.0,133.0,0.0,0.0,0.0,720.0,2086.0,0.0,5947.0,49.0,100.0,49.0,301.0,0.0,13166.0
2021-11-01 19:00:00+01:00,520.0,0.0,0.0,4797.0,381.0,137.0,0.0,0.0,0.0,653.0,2863.0,0.0,5948.0,50.0,101.0,16.0,306.0,0.0,13379.0
2021-11-01 20:00:00+01:00,518.0,0.0,0.0,4419.0,362.0,137.0,0.0,0.0,0.0,650.0,1502.0,0.0,5951.0,50.0,98.0,17.0,301.0,0.0,13949.0
2021-11-01 21:00:00+01:00,520.0,0.0,0.0,4278.0,341.0,137.0,0.0,0.0,0.0,639.0,1224.0,0.0,5951.0,50.0,97.0,15.0,301.0,0.0,14373.0
2021-11-01 22:00:00+01:00,519.0,0.0,0.0,4128.0,316.0,137.0,0.0,0.0,0.0,632.0,1221.0,0.0,5951.0,50.0,98.0,16.0,299.0,0.0,14489.0
2021-11-01 23:00:00+01:00,519.0,0.0,0.0,4527.0,334.0,137.0,0.0,0.0,0.0,626.0,1011.0,0.0,5952.0,50.0,97.0,15.0,297.0,0.0,14418.0
2021-11-02 00:00:00+01:00,511.0,0.0,0.0,4742.0,303.0,135.0,0.0,0.0,0.0,621.0,399.0,0.0,5952.0,50.0,94.0,11.0,295.0,0.0,14044.0
2021-11-02 01:00:00+01:00,516.0,0.0,0.0,4734.0,290.0,114.0,0.0,0.0,0.0,603.0,313.0,0.0,5954.0,50.0,99.0,6.0,289.0,0.0,13657.0
2021-11-02 02:00:00+01:00,528.0,0.0,0.0,5175.0,313.0,113.0,0.0,0.0,0.0,598.0,353.0,0.0,5953.0,50.0,99.0,6.0,285.0,0.0,13169.0
2021-11-02 03:00:00+01:00,530.0,0.0,0.0,5412.0,339.0,113.0,0.0,0.0,0.0,591.0,319.0,0.0,5953.0,50.0,99.0,6.0,278.0,0.0,13417.0
2021-11-02 04:00:00+01:00,526.0,0.0,0.0,5391.0,370.0,114.0,0.0,0.0,0.0,573.0,236.0,0.0,5952.0,50.0,96.0,6.0,289.0,0.0,13098.0
2021-11-02 05:00:00+01:00,526.0,0.0,0.0,5384.0,547.0,114.0,0.0,0.0,0.0,569.0,269.0,0.0,5952.0,50.0,98.0,6.0,294.0,0.0,12332.0
2021-11-02 06:00:00+01:00,530.0,0.0,0.0,6526.0,671.0,124.0,0.0,0.0,0.0,563.0,858.0,0.0,5954.0,50.0,98.0,6.0,298.0,0.0,12050.0
2021-11-02 07:00:00+01:00,533.0,0.0,0.0,7682.0,803.0,145.0,0.0,0.0,0.0,586.0,1530.0,0.0,5955.0,50.0,106.0,21.0,299.0,0.0,11657.0
2021-11-02 08:00:00+01:00,538.0,0.0,0.0,8118.0,825.0,152.0,0.0,0.0,0.0,569.0,1654.0,0.0,5956.0,51.0,109.0,857.0,296.0,0.0,11226.0
2021-11-02 09:00:00+01:00,532.0,0.0,0.0,8387.0,825.0,152.0,0.0,0.0,0.0,583.0,1330.0,0.0,5958.0,55.0,111.0,2805.0,292.0,0.0,10890.0
2021-11-02 10:00:00+01:00,539.0,0.0,0.0,7720.0,825.0,154.0,0.0,0.0,0.0,610.0,1498.0,0.0,5957.0,55.0,114.0,4133.0,294.0,0.0,10963.0
2021-11-02 11:00:00+01:00,526.0,0.0,0.0,7005.0,794.0,155.0,0.0,0.0,0.0,610.0,1226.0,0.0,5956.0,56.0,111.0,4527.0,299.0,0.0,11442.0
2021-11-02 12:00:00+01:00,531.0,0.0,0.0,6695.0,765.0,154.0,0.0,0.0,0.0,609.0,816.0,0.0,5957.0,61.0,106.0,4505.0,298.0,0.0,12282.0
