,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-11-01 00:00:00+01:00,0.0,81.0,28.0,4201.0,6375.0,0.0,43.0,42.0,3196.0
2021-11-01 01:00:00+01:00,0.0,80.0,28.0,4201.0,6082.0,0.0,40.0,43.0,3141.0
2021-11-01 02:00:00+01:00,0.0,80.0,27.0,4193.0,5928.0,0.0,41.0,43.0,2932.0
2021-11-01 03:00:00+01:00,0.0,80.0,27.0,4194.0,5441.0,0.0,40.0,43.0,3121.0
2021-11-01 04:00:00+01:00,0.0,80.0,27.0,4188.0,5161.0,0.0,41.0,44.0,3209.0
2021-11-01 05:00:00+01:00,0.0,81.0,27.0,4220.0,5963.0,0.0,40.0,43.0,3290.0
2021-11-01 06:00:00+01:00,0.0,80.0,28.0,4250.0,7162.0,0.0,43.0,41.0,3331.0
2021-11-01 07:00:00+01:00,0.0,80.0,27.0,4293.0,8813.0,0.0,24.0,40.0,3356.0
2021-11-01 08:00:00+01:00,0.0,80.0,65.0,4316.0,10405.0,0.0,27.0,33.0,3392.0
2021-11-01 09:00:00+01:00,0.0,80.0,75.0,4315.0,10357.0,0.0,23.0,32.0,3365.0
2021-11-01 10:00:00+01:00,0.0,81.0,76.0,4323.0,10258.0,0.0,23.0,39.0,3387.0
2021-11-01 11:00:00+01:00,0.0,80.0,41.0,4333.0,9746.0,0.0,22.0,39.0,3365.0
2021-11-01 12:00:00+01:00,0.0,80.0,40.0,4376.0,9642.0,0.0,24.0,38.0,3331.0
2021-11-01 13:00:00+01:00,0.0,80.0,40.0,4349.0,10174.0,0.0,46.0,39.0,3257.0
2021-11-01 14:00:00+01:00,0.0,80.0,40.0,4358.0,10383.0,0.0,47.0,40.0,3225.0
2021-11-01 15:00:00+01:00,0.0,80.0,70.0,4379.0,10731.0,0.0,47.0,33.0,3174.0
2021-11-01 16:00:00+01:00,0.0,80.0,74.0,4383.0,10905.0,0.0,46.0,29.0,3283.0
2021-11-01 17:00:00+01:00,0.0,80.0,72.0,4336.0,11362.0,0.0,45.0,30.0,3399.0
2021-11-01 18:00:00+01:00,0.0,80.0,72.0,4350.0,11058.0,0.0,45.0,40.0,3456.0
2021-11-01 19:00:00+01:00,0.0,80.0,72.0,4325.0,9912.0,0.0,45.0,41.0,3341.0
2021-11-01 20:00:00+01:00,0.0,80.0,37.0,4337.0,9513.0,0.0,43.0,41.0,3099.0
