,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-10-01 00:00:00+02:00,149.0,366.0,751.0,0.0,,0.0,7.0,11.0,1913.0,58.0,11.0,0.0,14.0,4.0
2021-10-01 00:15:00+02:00,148.0,377.0,731.0,0.0,,0.0,7.0,11.0,1909.0,58.0,11.0,0.0,14.0,2.0
2021-10-01 00:30:00+02:00,149.0,361.0,722.0,0.0,,0.0,7.0,11.0,1908.0,58.0,11.0,0.0,15.0,1.0
2021-10-01 00:45:00+02:00,146.0,358.0,724.0,0.0,,0.0,7.0,11.0,1907.0,58.0,11.0,0.0,14.0,1.0
2021-10-01 01:00:00+02:00,148.0,365.0,747.0,0.0,,0.0,7.0,11.0,1909.0,58.0,11.0,0.0,15.0,1.0
2021-10-01 01:15:00+02:00,149.0,362.0,727.0,0.0,,0.0,7.0,11.0,1910.0,58.0,11.0,0.0,14.0,1.0
2021-10-01 01:30:00+02:00,148.0,345.0,723.0,0.0,,0.0,7.0,11.0,1909.0,58.0,11.0,0.0,15.0,0.0
2021-10-01 01:45:00+02:00,151.0,345.0,714.0,0.0,,0.0,7.0,11.0,1907.0,58.0,11.0,0.0,14.0,1.0
2021-10-01 02:00:00+02:00,151.0,361.0,741.0,0.0,,0.0,7.0,11.0,1910.0,57.0,11.0,0.0,15.0,2.0
2021-10-01 02:15:00+02:00,148.0,352.0,726.0,0.0,,0.0,7.0,11.0,1909.0,57.0,11.0,0.0,15.0,2.0
2021-10-01 02:30:00+02:00,145.0,342.0,725.0,0.0,,0.0,7.0,11.0,1910.0,57.0,11.0,0.0,16.0,2.0
2021-10-01 02:45:00+02:00,140.0,337.0,725.0,0.0,,0.0,7.0,11.0,1910.0,57.0,11.0,0.0,16.0,1.0
2021-10-01 03:00:00+02:00,125.0,344.0,727.0,0.0,,0.0,7.0,11.0,1911.0,58.0,10.0,0.0,16.0,1.0
2021-10-01 03:15:00+02:00,114.0,341.0,724.0,0.0,,0.0,7.0,11.0,1910.0,58.0,10.0,0.0,15.0,0.0
2021-10-01 03:30:00+02:00,111.0,330.0,723.0,0.0,,0.0,7.0,11.0,1911.0,58.0,9.0,0.0,14.0,1.0
2021-10-01 03:45:00+02:00,113.0,327.0,719.0,0.0,,0.0,7.0,11.0,1910.0,58.0,9.0,0.0,14.0,0.0
2021-10-01 04:00:00+02:00,110.0,317.0,704.0,0.0,,0.0,7.0,11.0,1911.0,57.0,9.0,0.0,14.0,0.0
2021-10-01 04:15:00+02:00,109.0,317.0,720.0,0.0,,0.0,7.0,11.0,1911.0,57.0,8.0,0.0,16.0,0.0
2021-10-01 04:30:00+02:00,110.0,338.0,726.0,0.0,,0.0,7.0,11.0,1911.0,57.0,9.0,0.0,16.0,0.0
2021-10-01 04:45:00+02:00,112.0,357.0,715.0,0.0,,0.0,7.0,11.0,1910.0,57.0,9.0,0.0,16.0,0.0
2021-10-01 05:00:00+02:00,113.0,353.0,672.0,0.0,,0.0,7.0,11.0,1910.0,57.0,8.0,0.0,16.0,0.0
2021-10-01 05:15:00+02:00,118.0,338.0,712.0,0.0,,0.0,7.0,11.0,1911.0,57.0,9.0,0.0,16.0,0.0
2021-10-01 05:30:00+02:00,125.0,359.0,724.0,0.0,,0.0,7.0,11.0,1911.0,57.0,8.0,0.0,16.0,1.0
2021-10-01 05:45:00+02:00,131.0,376.0,739.0,0.0,,0.0,7.0,11.0,1910.0,57.0,8.0,0.0,16.0,1.0
2021-10-01 06:00:00+02:00,135.0,352.0,849.0,0.0,,0.0,6.0,11.0,1908.0,58.0,10.0,0.0,16.0,1.0
2021-10-01 06:15:00+02:00,138.0,329.0,914.0,0.0,,0.0,6.0,11.0,1909.0,58.0,10.0,0.0,16.0,1.0
2021-10-01 06:30:00+02:00,140.0,348.0,985.0,0.0,,0.0,6.0,11.0,1912.0,58.0,10.0,0.0,16.0,1.0
2021-10-01 06:45:00+02:00,142.0,365.0,1011.0,0.0,,0.0,6.0,11.0,1910.0,58.0,10.0,5.0,16.0,1.0
2021-10-01 07:00:00+02:00,139.0,352.0,958.0,0.0,,0.0,6.0,11.0,1908.0,59.0,10.0,24.0,15.0,1.0
2021-10-01 07:15:00+02:00,144.0,356.0,975.0,0.0,,0.0,7.0,11.0,1909.0,59.0,11.0,53.0,15.0,1.0
2021-10-01 07:30:00+02:00,141.0,372.0,1003.0,0.0,,0.0,7.0,11.0,1909.0,59.0,12.0,89.0,15.0,2.0
2021-10-01 07:45:00+02:00,143.0,368.0,1007.0,0.0,,0.0,7.0,11.0,1908.0,59.0,13.0,141.0,14.0,4.0
2021-10-01 08:00:00+02:00,147.0,367.0,986.0,0.0,,0.0,9.0,11.0,1909.0,59.0,12.0,194.0,15.0,5.0
2021-10-01 08:15:00+02:00,146.0,375.0,952.0,0.0,0.0,0.0,9.0,11.0,1909.0,59.0,12.0,261.0,14.0,5.0
2021-10-01 08:30:00+02:00,142.0,379.0,973.0,0.0,,0.0,9.0,11.0,1909.0,59.0,12.0,321.0,14.0,4.0
2021-10-01 08:45:00+02:00,143.0,378.0,952.0,0.0,0.0,0.0,9.0,11.0,1909.0,59.0,12.0,386.0,14.0,3.0
2021-10-01 09:00:00+02:00,140.0,379.0,952.0,0.0,0.0,0.0,9.0,11.0,1910.0,58.0,12.0,444.0,14.0,3.0
2021-10-01 09:15:00+02:00,139.0,374.0,965.0,0.0,,0.0,9.0,11.0,1909.0,63.0,11.0,484.0,15.0,2.0
2021-10-01 09:30:00+02:00,141.0,379.0,962.0,0.0,,0.0,9.0,11.0,1909.0,63.0,11.0,527.0,16.0,2.0
2021-10-01 09:45:00+02:00,142.0,373.0,961.0,0.0,,0.0,9.0,11.0,1909.0,63.0,11.0,570.0,16.0,1.0
2021-10-01 10:00:00+02:00,143.0,358.0,957.0,0.0,,0.0,9.0,11.0,1910.0,63.0,11.0,616.0,16.0,1.0
2021-10-01 10:15:00+02:00,144.0,366.0,917.0,0.0,,0.0,9.0,11.0,1909.0,63.0,11.0,657.0,16.0,1.0
2021-10-01 10:30:00+02:00,143.0,371.0,911.0,0.0,,0.0,8.0,11.0,1909.0,63.0,11.0,675.0,16.0,2.0
2021-10-01 10:45:00+02:00,142.0,367.0,911.0,0.0,,0.0,8.0,11.0,1908.0,63.0,11.0,668.0,16.0,4.0
