,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-01 00:00:00+01:00,126.5,0.0,0.0,1805.1599999999999,257.48,69.635,0.0,0.0,0.0,13.752,9.816,0.0,71.292,40.18,,0.615,272.05490000000003,0.0,120.27399999999999
2021-11-01 01:00:00+01:00,126.5,0.0,0.0,1955.59,232.06000000000003,68.902,0.0,0.0,0.0,13.56,5.16,0.0,71.292,40.18,,0.615,263.75492,0.0,116.14899999999999
2021-11-01 02:00:00+01:00,127.19000000000001,0.0,0.0,1931.09,227.96,68.902,0.0,0.0,0.0,13.272,5.328,0.0,71.304,40.18,,0.615,264.67714,0.0,113.091
2021-11-01 03:00:00+01:00,124.89,0.0,0.0,1981.56,218.12,68.902,0.0,0.0,0.0,13.368,5.832,0.0,71.304,40.18,,0.615,264.67714,0.0,112.92599999999999
2021-11-01 04:00:00+01:00,126.5,0.0,0.0,1957.55,221.4,68.902,0.0,0.0,0.0,13.752,6.216,0.0,71.316,40.18,,0.615,260.06604,0.0,105.017
2021-11-01 05:00:00+01:00,126.04,0.0,0.0,2024.68,243.54000000000002,68.902,0.0,0.0,0.0,13.824,6.96,0.0,71.328,39.36,,0.615,263.75492,0.0,105.006
2021-11-01 06:00:00+01:00,127.88000000000001,0.0,0.0,2209.41,245.18,68.902,0.0,0.0,0.0,13.896,8.352,0.0,71.352,39.36,,0.615,268.36602,0.0,109.18599999999999
2021-11-01 07:00:00+01:00,128.34,0.0,0.0,2289.77,236.16000000000003,68.902,0.0,0.0,0.0,13.944,13.344,0.0,71.34,39.36,,1.0250000000000001,270.21046,0.0,116.589
2021-11-01 08:00:00+01:00,126.96000000000001,0.0,0.0,2263.8,236.16000000000003,66.703,0.0,0.0,0.0,14.352,18.888,0.0,71.316,40.18,,26.363,272.05490000000003,0.0,126.467
2021-11-01 09:00:00+01:00,126.73,0.0,0.0,2271.64,241.9,69.635,0.0,0.0,0.0,14.280000000000001,31.824,0.0,71.328,41.0,,91.102,269.28824000000003,0.0,126.99499999999999
2021-11-01 10:00:00+01:00,126.96000000000001,0.0,0.0,1792.9099999999999,261.58000000000004,70.368,0.0,0.0,0.0,14.424,25.728,0.0,71.328,41.0,,135.423,271.13268,0.0,134.035
2021-11-01 11:00:00+01:00,126.96000000000001,0.0,0.0,1765.96,284.54,70.368,0.0,0.0,0.0,14.4,9.336,0.0,71.304,41.0,,176.669,269.28824000000003,0.0,145.189
2021-11-01 12:00:00+01:00,125.12,0.0,0.0,1832.11,295.20000000000005,70.368,0.0,0.0,0.0,14.4,9.504,0.0,71.256,41.0,,202.17100000000002,269.28824000000003,0.0,152.922
2021-11-01 13:00:00+01:00,122.13000000000001,0.0,0.0,1804.67,331.28000000000003,69.635,0.0,0.0,0.0,14.544,9.264,0.0,71.28,41.0,,213.56900000000002,272.05490000000003,0.0,160.039
2021-11-01 14:00:00+01:00,119.14,0.0,0.0,1794.3799999999999,309.14000000000004,69.635,0.0,0.0,0.0,14.472,8.544,0.0,71.268,41.0,,213.979,274.82156000000003,0.0,166.727
2021-11-01 15:00:00+01:00,119.60000000000001,0.0,0.0,1881.6,272.24,69.635,0.0,0.0,0.0,14.712,8.784,0.0,71.292,41.0,,191.675,270.21046,0.0,151.767
2021-11-01 16:00:00+01:00,120.52000000000001,0.0,0.0,2040.36,264.04,70.368,0.0,0.0,0.0,14.76,15.0,0.0,71.292,41.0,,132.553,271.13268,0.0,140.481
2021-11-01 17:00:00+01:00,118.45,0.0,0.0,2246.16,270.6,85.02799999999999,0.0,0.0,0.0,16.776,29.928,0.0,71.352,40.18,,43.665,274.82156000000003,0.0,141.73499999999999
2021-11-01 18:00:00+01:00,119.60000000000001,0.0,0.0,2214.8,291.92,97.489,0.0,0.0,0.0,17.28,50.064,0.0,71.364,40.18,,2.009,277.58822000000004,0.0,144.826
2021-11-01 19:00:00+01:00,119.60000000000001,0.0,0.0,2350.5299999999997,312.42,100.42099999999999,0.0,0.0,0.0,15.672,68.712,0.0,71.376,41.0,,0.656,282.19932,0.0,147.16899999999998
2021-11-01 20:00:00+01:00,119.14,0.0,0.0,2165.31,296.84000000000003,100.42099999999999,0.0,0.0,0.0,15.6,36.048,0.0,71.412,41.0,,0.6970000000000001,277.58822000000004,0.0,153.439
2021-11-01 21:00:00+01:00,119.60000000000001,0.0,0.0,2096.22,279.62,100.42099999999999,0.0,0.0,0.0,15.336,29.376,0.0,71.412,41.0,,0.615,277.58822000000004,0.0,158.10299999999998
2021-11-01 22:00:00+01:00,119.37,0.0,0.0,2022.72,259.12,100.42099999999999,0.0,0.0,0.0,15.168000000000001,29.304000000000002,0.0,71.412,41.0,,0.656,275.74378,0.0,159.379
2021-11-01 23:00:00+01:00,119.37,0.0,0.0,2218.23,273.88,100.42099999999999,0.0,0.0,0.0,15.024000000000001,24.264,0.0,71.424,41.0,,0.615,273.89934,0.0,158.59799999999998
2021-11-02 00:00:00+01:00,117.53,0.0,0.0,2323.58,248.46,98.955,0.0,0.0,0.0,14.904,9.576,0.0,71.424,41.0,,0.451,272.05490000000003,0.0,154.48399999999998
2021-11-02 01:00:00+01:00,118.68,0.0,0.0,2319.66,237.8,83.562,0.0,0.0,0.0,14.472,7.5120000000000005,0.0,71.44800000000001,41.0,,0.246,266.52158000000003,0.0,150.227
2021-11-02 02:00:00+01:00,121.44000000000001,0.0,0.0,2535.75,256.66,82.829,0.0,0.0,0.0,14.352,8.472,0.0,71.436,41.0,,0.246,262.8327,0.0,144.85899999999998
2021-11-02 03:00:00+01:00,121.9,0.0,0.0,2651.88,277.98,82.829,0.0,0.0,0.0,14.184000000000001,7.656000000000001,0.0,71.436,41.0,,0.246,256.37716,0.0,147.587
2021-11-02 04:00:00+01:00,120.98,0.0,0.0,2641.59,303.40000000000003,83.562,0.0,0.0,0.0,13.752,5.664,0.0,71.424,41.0,,0.246,266.52158000000003,0.0,144.078
2021-11-02 05:00:00+01:00,120.98,0.0,0.0,2638.16,448.54,83.562,0.0,0.0,0.0,13.656,6.456,0.0,71.424,41.0,,0.246,271.13268,0.0,135.652
2021-11-02 06:00:00+01:00,121.9,0.0,0.0,3197.74,550.22,90.892,0.0,0.0,0.0,13.512,20.592,0.0,71.44800000000001,41.0,,0.246,274.82156000000003,0.0,132.54999999999998
2021-11-02 07:00:00+01:00,122.59,0.0,0.0,3764.18,658.46,106.285,0.0,0.0,0.0,14.064,36.72,0.0,71.46000000000001,41.0,,0.861,275.74378,0.0,128.227
2021-11-02 08:00:00+01:00,123.74000000000001,0.0,0.0,3977.8199999999997,676.5,111.416,0.0,0.0,0.0,13.656,39.696,0.0,71.47200000000001,41.82,,35.137,272.97712,0.0,123.48599999999999
2021-11-02 09:00:00+01:00,122.36,0.0,0.0,4109.63,676.5,111.416,0.0,0.0,0.0,13.992,31.92,0.0,71.496,45.1,,115.00500000000001,269.28824000000003,0.0,119.78999999999999
2021-11-02 10:00:00+01:00,123.97,0.0,0.0,3782.7999999999997,676.5,112.88199999999999,0.0,0.0,0.0,14.64,35.952,0.0,71.484,45.1,,169.453,271.13268,0.0,120.59299999999999
2021-11-02 11:00:00+01:00,120.98,0.0,0.0,3432.45,651.08,113.615,0.0,0.0,0.0,14.64,29.424,0.0,71.47200000000001,45.92,,185.607,275.74378,0.0,125.862
2021-11-02 12:00:00+01:00,122.13000000000001,0.0,0.0,3280.5499999999997,627.3000000000001,112.88199999999999,0.0,0.0,0.0,14.616,19.584,0.0,71.484,50.02,,184.705,274.82156000000003,0.0,135.102
2021-11-02 13:00:00+01:00,120.52000000000001,0.0,0.0,3344.74,611.72,115.081,0.0,0.0,0.0,14.832,17.04,0.0,71.47200000000001,48.38,,181.138,270.21046,0.0,138.16
2021-11-02 14:00:00+01:00,121.67,0.0,0.0,3505.95,628.12,117.28,0.0,0.0,0.0,15.312000000000001,27.264,0.0,71.47200000000001,50.84,,141.614,266.52158000000003,0.0,133.958
2021-11-02 15:00:00+01:00,121.21000000000001,0.0,0.0,3645.11,646.1600000000001,117.28,0.0,0.0,0.0,15.36,44.88,0.0,71.484,54.940000000000005,,104.796,260.06604,0.0,130.207
2021-11-02 16:00:00+01:00,123.51,0.0,0.0,3905.2999999999997,675.6800000000001,118.01299999999999,0.0,0.0,0.0,15.456,47.184,0.0,71.484,54.120000000000005,,52.234,269.28824000000003,0.0,125.41099999999999
2021-11-02 17:00:00+01:00,126.04,0.0,0.0,4183.13,687.98,118.01299999999999,0.0,0.0,0.0,15.84,57.624,0.0,71.47200000000001,50.84,,15.744,268.36602,0.0,125.22399999999999
2021-11-02 18:00:00+01:00,124.2,0.0,0.0,4270.84,687.98,118.01299999999999,0.0,0.0,0.0,16.992,63.84,0.0,71.484,50.84,,1.312,269.28824000000003,0.0,132.91299999999998
2021-11-02 19:00:00+01:00,125.12,0.0,0.0,4273.29,685.5200000000001,120.945,0.0,0.0,0.0,17.424,57.6,0.0,71.484,52.480000000000004,,1.066,272.97712,0.0,136.74099999999999
2021-11-02 20:00:00+01:00,125.35000000000001,0.0,0.0,4401.67,687.1600000000001,126.076,0.0,0.0,0.0,18.96,57.480000000000004,0.0,71.484,50.02,,1.0250000000000001,275.74378,0.0,134.178
2021-11-02 21:00:00+01:00,126.04,0.0,0.0,4481.54,687.98,126.809,0.0,0.0,0.0,17.544,56.52,0.0,71.496,42.64,,0.9430000000000001,276.666,0.0,129.338
2021-11-02 22:00:00+01:00,125.12,0.0,0.0,4411.96,671.58,126.076,0.0,0.0,0.0,16.896,45.192,0.0,71.46000000000001,42.64,,0.9430000000000001,278.51044,0.0,120.934
2021-11-02 23:00:00+01:00,124.2,0.0,0.0,4368.84,615.82,126.076,0.0,0.0,0.0,16.392,32.904,0.0,71.44800000000001,42.64,,0.9430000000000001,281.2771,0.0,109.538
2021-11-03 00:00:00+01:00,124.43,0.0,0.0,3631.39,551.0400000000001,120.212,0.0,0.0,0.0,16.008,10.824,0.0,71.44800000000001,43.46,,0.8200000000000001,269.28824000000003,0.0,106.381
2021-11-03 01:00:00+01:00,124.66000000000001,0.0,0.0,3549.0699999999997,529.72,120.212,0.0,0.0,0.0,15.912,9.312,0.0,71.44800000000001,42.64,,0.738,262.8327,0.0,102.839
2021-11-03 02:00:00+01:00,128.34,0.0,0.0,3336.41,464.94000000000005,120.212,0.0,0.0,0.0,15.144,9.6,0.0,71.46000000000001,43.46,,0.738,269.28824000000003,0.0,100.892
2021-11-03 03:00:00+01:00,126.27000000000001,0.0,0.0,3439.31,446.90000000000003,114.348,0.0,0.0,0.0,14.808,12.504,0.0,71.484,42.64,,0.738,270.21046,0.0,98.351
2021-11-03 04:00:00+01:00,127.88000000000001,0.0,0.0,3644.62,528.08,112.149,0.0,0.0,0.0,14.928,8.808,0.0,71.496,42.64,,0.738,265.59936,0.0,97.64699999999999
2021-11-03 05:00:00+01:00,128.8,0.0,0.0,3556.42,557.6,109.95,0.0,0.0,0.0,14.928,9.912,0.0,71.52,42.64,,0.738,259.14382,0.0,102.399
2021-11-03 06:00:00+01:00,126.73,0.0,0.0,3942.0499999999997,593.6800000000001,110.68299999999999,0.0,0.0,0.0,16.176000000000002,24.648,0.0,71.532,43.46,,0.738,259.14382,0.0,102.872
2021-11-03 07:00:00+01:00,118.68,0.0,0.0,4202.24,651.08,111.416,0.0,0.0,0.0,16.44,41.064,0.0,71.532,46.74,,1.107,272.05490000000003,0.0,105.952
2021-11-03 08:00:00+01:00,119.83,0.0,0.0,4302.2,687.1600000000001,111.416,0.0,0.0,0.0,15.528,50.52,0.0,71.544,47.56,,51.619,267.4438,0.0,107.701
2021-11-03 09:00:00+01:00,122.82000000000001,0.0,0.0,4186.5599999999995,670.7600000000001,111.416,0.0,0.0,0.0,15.984,31.824,0.0,71.424,49.2,,179.90800000000002,264.67714,0.0,102.74
2021-11-03 10:00:00+01:00,124.43,0.0,0.0,3944.5,635.5,113.615,0.0,0.0,0.0,15.552,18.48,0.0,71.06400000000001,52.480000000000004,,261.047,267.4438,0.0,110.42899999999999
