,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2021-12-01 00:00:00+01:00,0.0,94.0,495.0,2701.0,15703.0,0.0,66.0,18.0,622.0
2021-12-01 01:00:00+01:00,0.0,94.0,468.0,2650.0,13812.0,0.0,68.0,19.0,791.0
2021-12-01 02:00:00+01:00,0.0,94.0,390.0,2628.0,12893.0,0.0,38.0,21.0,940.0
2021-12-01 03:00:00+01:00,0.0,94.0,356.0,2580.0,12171.0,0.0,37.0,23.0,1076.0
2021-12-01 04:00:00+01:00,0.0,94.0,373.0,2614.0,12231.0,0.0,42.0,23.0,1334.0
2021-12-01 05:00:00+01:00,0.0,94.0,491.0,2607.0,13355.0,0.0,43.0,23.0,1467.0
2021-12-01 06:00:00+01:00,0.0,94.0,509.0,2636.0,15853.0,0.0,44.0,23.0,1557.0
2021-12-01 07:00:00+01:00,0.0,94.0,510.0,2646.0,17938.0,0.0,45.0,22.0,1546.0
2021-12-01 08:00:00+01:00,0.0,94.0,511.0,2688.0,18161.0,0.0,43.0,22.0,1502.0
2021-12-01 09:00:00+01:00,0.0,79.0,511.0,2701.0,18280.0,0.0,26.0,27.0,1403.0
2021-12-01 10:00:00+01:00,0.0,37.0,512.0,2705.0,18382.0,0.0,22.0,23.0,1452.0
2021-12-01 11:00:00+01:00,0.0,42.0,514.0,2707.0,17978.0,0.0,22.0,23.0,1421.0
2021-12-01 12:00:00+01:00,0.0,93.0,517.0,2707.0,17876.0,0.0,15.0,24.0,1501.0
2021-12-01 13:00:00+01:00,0.0,92.0,520.0,2707.0,17570.0,0.0,17.0,24.0,1527.0
2021-12-01 14:00:00+01:00,0.0,93.0,521.0,2700.0,17399.0,0.0,33.0,24.0,1391.0
2021-12-01 15:00:00+01:00,0.0,94.0,523.0,2723.0,17848.0,0.0,39.0,26.0,1161.0
2021-12-01 16:00:00+01:00,0.0,94.0,521.0,2720.0,18230.0,0.0,41.0,29.0,1145.0
