,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2021-06-01 00:00:00+02:00,311.0,1444.0,46.0,138.0,92.0,5704.0,2111.0,39051.0,0.0,172.0,4627.0
2021-06-01 01:00:00+02:00,319.0,767.0,47.0,138.0,190.0,5347.0,1899.0,39026.0,0.0,172.0,4706.0
2021-06-01 02:00:00+02:00,321.0,804.0,48.0,138.0,356.0,5337.0,2167.0,39249.0,0.0,168.0,4620.0
2021-06-01 03:00:00+02:00,332.0,813.0,48.0,138.0,1134.0,5301.0,1781.0,39085.0,0.0,168.0,4666.0
2021-06-01 04:00:00+02:00,330.0,816.0,48.0,138.0,1476.0,5436.0,1759.0,39129.0,0.0,170.0,4730.0
2021-06-01 05:00:00+02:00,329.0,771.0,49.0,138.0,1132.0,5658.0,1813.0,39297.0,140.0,168.0,4714.0
2021-06-01 06:00:00+02:00,330.0,1318.0,49.0,138.0,674.0,6102.0,1926.0,39437.0,237.0,169.0,4744.0
2021-06-01 07:00:00+02:00,332.0,1378.0,49.0,138.0,157.0,5979.0,2235.0,39630.0,760.0,163.0,4445.0
2021-06-01 08:00:00+02:00,337.0,1221.0,48.0,137.0,835.0,5817.0,2480.0,39719.0,2051.0,158.0,3177.0
2021-06-01 09:00:00+02:00,335.0,1411.0,48.0,137.0,1014.0,5740.0,2050.0,39713.0,3588.0,159.0,2380.0
2021-06-01 10:00:00+02:00,333.0,1539.0,50.0,137.0,113.0,5381.0,2384.0,39754.0,4781.0,147.0,2180.0
2021-06-01 11:00:00+02:00,336.0,1455.0,52.0,137.0,170.0,5204.0,2185.0,39506.0,5619.0,138.0,2327.0
2021-06-01 12:00:00+02:00,336.0,1470.0,51.0,138.0,126.0,5191.0,2290.0,39388.0,6183.0,154.0,2649.0
2021-06-01 13:00:00+02:00,335.0,1480.0,51.0,137.0,108.0,5214.0,2417.0,39021.0,6288.0,159.0,2819.0
2021-06-01 14:00:00+02:00,336.0,1208.0,51.0,137.0,266.0,5109.0,2324.0,38510.0,6116.0,163.0,2851.0
2021-06-01 15:00:00+02:00,333.0,1160.0,51.0,137.0,299.0,5115.0,2236.0,38282.0,5361.0,164.0,2799.0
2021-06-01 16:00:00+02:00,328.0,1245.0,53.0,137.0,310.0,5379.0,2398.0,37046.0,4290.0,171.0,2747.0
2021-06-01 17:00:00+02:00,328.0,1779.0,52.0,137.0,827.0,5961.0,2433.0,36829.0,3163.0,172.0,2568.0
2021-06-01 18:00:00+02:00,331.0,2186.0,51.0,136.0,508.0,6332.0,2903.0,37886.0,2043.0,170.0,2559.0
2021-06-01 19:00:00+02:00,331.0,2303.0,50.0,746.0,1027.0,6472.0,3059.0,39270.0,1078.0,171.0,2573.0
2021-06-01 20:00:00+02:00,331.0,2301.0,51.0,782.0,1037.0,6353.0,2885.0,39792.0,415.0,174.0,2683.0
2021-06-01 21:00:00+02:00,330.0,1680.0,50.0,137.0,867.0,6291.0,2812.0,39778.0,182.0,175.0,3192.0
2021-06-01 22:00:00+02:00,332.0,2260.0,50.0,137.0,894.0,6261.0,2766.0,39741.0,0.0,175.0,3819.0
2021-06-01 23:00:00+02:00,333.0,2100.0,50.0,137.0,766.0,5896.0,2251.0,39497.0,0.0,175.0,4071.0
2021-06-02 00:00:00+02:00,334.0,1538.0,29.0,114.0,33.0,5699.0,2010.0,39297.0,0.0,176.0,4154.0
2021-06-02 01:00:00+02:00,332.0,1068.0,29.0,115.0,432.0,5452.0,1709.0,39347.0,0.0,177.0,4081.0
2021-06-02 02:00:00+02:00,333.0,836.0,28.0,115.0,1103.0,5312.0,1768.0,39622.0,0.0,180.0,3843.0
2021-06-02 03:00:00+02:00,338.0,821.0,28.0,115.0,1492.0,5185.0,1729.0,39272.0,0.0,180.0,3749.0
2021-06-02 04:00:00+02:00,335.0,811.0,27.0,115.0,1636.0,5163.0,1728.0,39381.0,0.0,174.0,3643.0
2021-06-02 05:00:00+02:00,335.0,797.0,25.0,115.0,1317.0,5305.0,1822.0,39357.0,143.0,169.0,3503.0
2021-06-02 06:00:00+02:00,335.0,954.0,24.0,115.0,378.0,5703.0,2219.0,40061.0,205.0,167.0,3375.0
2021-06-02 07:00:00+02:00,337.0,1023.0,23.0,115.0,474.0,6188.0,2611.0,39889.0,516.0,167.0,2891.0
2021-06-02 08:00:00+02:00,336.0,1042.0,23.0,115.0,744.0,6186.0,2744.0,40094.0,1251.0,137.0,2072.0
2021-06-02 09:00:00+02:00,338.0,980.0,23.0,114.0,838.0,6049.0,2377.0,40028.0,2331.0,138.0,1732.0
2021-06-02 10:00:00+02:00,336.0,789.0,24.0,114.0,122.0,5709.0,2060.0,39904.0,3396.0,136.0,1654.0
2021-06-02 11:00:00+02:00,329.0,804.0,24.0,115.0,132.0,5644.0,2012.0,39858.0,4275.0,141.0,1827.0
2021-06-02 12:00:00+02:00,332.0,777.0,23.0,115.0,18.0,5615.0,1981.0,39737.0,4731.0,143.0,2188.0
