,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2020-04-01 00:00:00+02:00,33.120000000000005,403.44000000000005,346.43,0.0,0.432,0.432,23.172,45.92,,0.0,13.833300000000001,0.627
2020-04-01 00:15:00+02:00,33.81,386.22,320.95,0.0,0.432,0.40800000000000003,23.136,45.92,,0.0,13.833300000000001,0.572
2020-04-01 00:30:00+02:00,33.58,381.3,328.3,0.0,0.432,0.40800000000000003,23.136,45.92,,0.0,14.75552,0.5609999999999999
2020-04-01 00:45:00+02:00,34.27,384.58000000000004,290.08,0.0,0.432,0.40800000000000003,23.124,45.92,,0.0,14.75552,0.517
2020-04-01 01:00:00+02:00,34.5,364.90000000000003,329.77,0.0,0.432,0.40800000000000003,23.16,45.92,,0.0,14.75552,0.506
2020-04-01 01:15:00+02:00,34.27,366.54,324.38,0.0,0.432,0.40800000000000003,23.124,45.92,,0.0,13.833300000000001,0.495
2020-04-01 01:30:00+02:00,34.5,368.18,297.43,0.0,0.432,0.40800000000000003,23.124,45.92,,0.0,13.833300000000001,0.46199999999999997
2020-04-01 01:45:00+02:00,35.190000000000005,363.26000000000005,278.32,0.733,0.432,0.40800000000000003,23.124,45.92,,0.0,12.91108,0.46199999999999997
2020-04-01 02:00:00+02:00,34.96,343.58000000000004,278.32,0.733,0.432,0.40800000000000003,23.136,46.74,,0.0,12.91108,0.39599999999999996
2020-04-01 02:15:00+02:00,35.42,316.52000000000004,280.28,0.733,0.432,0.40800000000000003,23.112000000000002,46.74,,0.0,12.91108,0.32999999999999996
2020-04-01 02:30:00+02:00,32.89,286.18,281.26,0.733,0.432,0.40800000000000003,23.112000000000002,46.74,,0.0,12.91108,0.374
2020-04-01 02:45:00+02:00,31.28,264.04,270.48,0.733,0.432,0.40800000000000003,23.1,46.74,,0.0,12.91108,0.407
2020-04-01 03:00:00+02:00,26.220000000000002,250.92000000000002,280.28,0.733,0.432,0.40800000000000003,23.124,47.56,,0.0,12.91108,0.32999999999999996
2020-04-01 03:15:00+02:00,26.220000000000002,251.74,281.75,0.733,0.432,0.40800000000000003,23.112000000000002,47.56,,0.0,13.833300000000001,0.32999999999999996
2020-04-01 03:30:00+02:00,25.07,247.64000000000001,269.5,0.733,0.432,0.40800000000000003,23.112000000000002,47.56,,0.0,14.75552,0.407
2020-04-01 03:45:00+02:00,24.380000000000003,238.62,252.84,0.733,0.432,0.40800000000000003,23.112000000000002,47.56,,0.0,14.75552,0.429
2020-04-01 04:00:00+02:00,24.61,211.56,248.43,0.733,0.432,0.40800000000000003,23.136,46.74,,0.0,15.67774,0.495
2020-04-01 04:15:00+02:00,24.61,209.92000000000002,263.13,0.0,0.432,0.40800000000000003,23.124,46.74,,0.0,14.75552,0.46199999999999997
2020-04-01 04:30:00+02:00,24.61,218.12,275.87,0.0,0.432,0.40800000000000003,23.136,46.74,,0.0,14.75552,0.45099999999999996
2020-04-01 04:45:00+02:00,24.84,227.14000000000001,300.37,0.0,0.432,0.40800000000000003,23.136,46.74,,0.0,14.75552,0.45099999999999996
