,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2020-06-01 00:00:00+02:00,267.0,2148.0,11.0,1231.0,5188.0,164.0,0.0,154.0,53.0,0.0,2556.0
2020-06-01 01:00:00+02:00,266.0,2266.0,11.0,1139.0,5294.0,164.0,0.0,149.0,53.0,0.0,2435.0
2020-06-01 02:00:00+02:00,268.0,2330.0,11.0,1127.0,5248.0,164.0,0.0,149.0,53.0,0.0,2415.0
2020-06-01 03:00:00+02:00,265.0,2417.0,11.0,1173.0,5388.0,165.0,0.0,148.0,53.0,3.0,2435.0
2020-06-01 04:00:00+02:00,266.0,2457.0,11.0,1162.0,5368.0,167.0,0.0,148.0,53.0,21.0,2388.0
2020-06-01 05:00:00+02:00,283.0,2764.0,12.0,1150.0,5506.0,167.0,0.0,148.0,53.0,55.0,2124.0
2020-06-01 06:00:00+02:00,295.0,3682.0,13.0,1190.0,6239.0,166.0,181.0,149.0,53.0,191.0,1377.0
2020-06-01 07:00:00+02:00,300.0,4617.0,13.0,1197.0,6794.0,163.0,328.0,150.0,53.0,431.0,852.0
2020-06-01 08:00:00+02:00,299.0,4852.0,13.0,1176.0,7366.0,152.0,244.0,149.0,53.0,717.0,781.0
2020-06-01 09:00:00+02:00,300.0,4666.0,12.0,1186.0,7277.0,149.0,139.0,180.0,54.0,994.0,1240.0
2020-06-01 10:00:00+02:00,300.0,4519.0,10.0,1111.0,6615.0,160.0,154.0,193.0,55.0,1191.0,1901.0
2020-06-01 11:00:00+02:00,300.0,4309.0,10.0,1100.0,6598.0,179.0,104.0,194.0,55.0,1313.0,2246.0
2020-06-01 12:00:00+02:00,301.0,4299.0,9.0,1101.0,6384.0,183.0,80.0,194.0,55.0,1341.0,2415.0
2020-06-01 13:00:00+02:00,299.0,4060.0,9.0,1100.0,6349.0,169.0,75.0,195.0,55.0,1267.0,2460.0
2020-06-01 14:00:00+02:00,300.0,3755.0,9.0,1098.0,6334.0,169.0,9.0,192.0,55.0,1128.0,2634.0
2020-06-01 15:00:00+02:00,273.0,3630.0,9.0,1097.0,6319.0,164.0,0.0,189.0,55.0,920.0,2644.0
2020-06-01 16:00:00+02:00,241.0,3585.0,9.0,1100.0,6381.0,160.0,0.0,188.0,55.0,685.0,2671.0
2020-06-01 17:00:00+02:00,240.0,3642.0,9.0,1102.0,6476.0,159.0,70.0,187.0,55.0,402.0,2418.0
2020-06-01 18:00:00+02:00,240.0,4016.0,10.0,1100.0,6484.0,159.0,156.0,187.0,55.0,154.0,2117.0
2020-06-01 19:00:00+02:00,237.0,4465.0,10.0,1106.0,6751.0,160.0,185.0,187.0,55.0,29.0,1691.0
2020-06-01 20:00:00+02:00,246.0,4832.0,10.0,1139.0,6803.0,161.0,180.0,186.0,55.0,6.0,1287.0
2020-06-01 21:00:00+02:00,292.0,4764.0,10.0,1178.0,6763.0,162.0,140.0,183.0,55.0,0.0,1330.0
2020-06-01 22:00:00+02:00,293.0,4350.0,10.0,1077.0,6201.0,162.0,79.0,169.0,55.0,0.0,1493.0
2020-06-01 23:00:00+02:00,281.0,3711.0,10.0,1068.0,5662.0,164.0,10.0,169.0,55.0,0.0,1572.0
2020-06-02 00:00:00+02:00,267.0,3593.0,10.0,1072.0,5674.0,164.0,0.0,168.0,55.0,0.0,1603.0
2020-06-02 01:00:00+02:00,264.0,3427.0,10.0,1071.0,5672.0,167.0,0.0,163.0,55.0,0.0,1556.0
2020-06-02 02:00:00+02:00,265.0,3625.0,10.0,1076.0,5721.0,167.0,0.0,163.0,55.0,0.0,1566.0
2020-06-02 03:00:00+02:00,264.0,3792.0,10.0,1076.0,5741.0,168.0,0.0,163.0,55.0,0.0,1342.0
2020-06-02 04:00:00+02:00,268.0,3842.0,11.0,1073.0,5766.0,168.0,0.0,163.0,55.0,14.0,1345.0
2020-06-02 05:00:00+02:00,282.0,3571.0,13.0,1088.0,5995.0,167.0,0.0,163.0,55.0,43.0,1184.0
2020-06-02 06:00:00+02:00,277.0,4406.0,12.0,1199.0,6943.0,167.0,47.0,163.0,55.0,182.0,712.0
2020-06-02 07:00:00+02:00,255.0,4844.0,10.0,1211.0,8043.0,165.0,46.0,163.0,55.0,388.0,437.0
2020-06-02 08:00:00+02:00,255.0,4808.0,10.0,1199.0,8467.0,165.0,213.0,175.0,55.0,600.0,484.0
2020-06-02 09:00:00+02:00,254.0,4762.0,9.0,1179.0,8186.0,165.0,220.0,196.0,55.0,837.0,754.0
2020-06-02 10:00:00+02:00,256.0,4557.0,10.0,1173.0,7752.0,166.0,234.0,201.0,55.0,942.0,959.0
2020-06-02 11:00:00+02:00,255.0,4545.0,10.0,1156.0,7785.0,166.0,261.0,202.0,55.0,1006.0,1041.0
2020-06-02 12:00:00+02:00,253.0,4598.0,9.0,1150.0,7672.0,162.0,324.0,200.0,55.0,981.0,1124.0
2020-06-02 13:00:00+02:00,254.0,4674.0,9.0,1122.0,7448.0,154.0,285.0,198.0,55.0,904.0,1197.0
2020-06-02 14:00:00+02:00,255.0,4774.0,10.0,1132.0,7105.0,153.0,127.0,191.0,55.0,805.0,1311.0
2020-06-02 15:00:00+02:00,253.0,4560.0,11.0,1106.0,7016.0,170.0,74.0,190.0,55.0,673.0,1389.0
2020-06-02 16:00:00+02:00,253.0,4405.0,11.0,1102.0,6998.0,175.0,9.0,189.0,54.0,497.0,1428.0
2020-06-02 17:00:00+02:00,255.0,4516.0,11.0,1105.0,7008.0,173.0,0.0,189.0,54.0,297.0,1470.0
2020-06-02 18:00:00+02:00,252.0,4484.0,11.0,1108.0,7038.0,178.0,0.0,189.0,54.0,139.0,1495.0
2020-06-02 19:00:00+02:00,256.0,5072.0,11.0,1170.0,7561.0,174.0,125.0,190.0,54.0,35.0,1390.0
2020-06-02 20:00:00+02:00,256.0,5025.0,11.0,1151.0,7511.0,175.0,156.0,182.0,54.0,7.0,1234.0
2020-06-02 21:00:00+02:00,254.0,5032.0,11.0,1153.0,7454.0,175.0,88.0,172.0,54.0,0.0,1342.0
2020-06-02 22:00:00+02:00,247.0,4661.0,11.0,1123.0,6417.0,174.0,76.0,163.0,54.0,0.0,1428.0
2020-06-02 23:00:00+02:00,235.0,3813.0,11.0,1068.0,5923.0,175.0,10.0,162.0,54.0,0.0,1394.0
2020-06-03 00:00:00+02:00,223.0,3566.0,11.0,1068.0,5899.0,175.0,0.0,155.0,54.0,0.0,1216.0
2020-06-03 01:00:00+02:00,220.0,3500.0,11.0,1070.0,5968.0,175.0,0.0,151.0,54.0,0.0,1190.0
2020-06-03 02:00:00+02:00,219.0,3671.0,11.0,1071.0,5982.0,175.0,0.0,151.0,54.0,0.0,1082.0
2020-06-03 03:00:00+02:00,218.0,4024.0,12.0,1071.0,5985.0,175.0,0.0,151.0,54.0,0.0,931.0
2020-06-03 04:00:00+02:00,224.0,4059.0,11.0,1069.0,6059.0,175.0,0.0,151.0,54.0,9.0,771.0
2020-06-03 05:00:00+02:00,242.0,3833.0,11.0,1083.0,6329.0,175.0,0.0,151.0,54.0,39.0,611.0
2020-06-03 06:00:00+02:00,252.0,4527.0,11.0,1142.0,7009.0,175.0,80.0,152.0,54.0,167.0,358.0
2020-06-03 07:00:00+02:00,260.0,5036.0,11.0,1214.0,8061.0,175.0,122.0,154.0,54.0,379.0,125.0
2020-06-03 08:00:00+02:00,260.0,4737.0,11.0,1200.0,8755.0,175.0,484.0,174.0,54.0,611.0,87.0
2020-06-03 09:00:00+02:00,260.0,4738.0,11.0,1183.0,9048.0,175.0,241.0,187.0,54.0,854.0,172.0
2020-06-03 10:00:00+02:00,260.0,4678.0,11.0,1163.0,8868.0,177.0,158.0,189.0,54.0,1029.0,298.0
2020-06-03 11:00:00+02:00,258.0,4769.0,10.0,1158.0,8917.0,179.0,155.0,189.0,54.0,1090.0,348.0
2020-06-03 12:00:00+02:00,259.0,4736.0,12.0,1150.0,8916.0,178.0,19.0,183.0,54.0,1109.0,415.0
2020-06-03 13:00:00+02:00,258.0,4762.0,12.0,1145.0,8720.0,179.0,0.0,180.0,54.0,1025.0,471.0
2020-06-03 14:00:00+02:00,261.0,4848.0,12.0,1145.0,8159.0,184.0,0.0,183.0,54.0,938.0,540.0
2020-06-03 15:00:00+02:00,258.0,4888.0,12.0,1155.0,7547.0,180.0,0.0,179.0,54.0,736.0,566.0
2020-06-03 16:00:00+02:00,260.0,4972.0,15.0,1154.0,7288.0,183.0,0.0,167.0,53.0,493.0,621.0
2020-06-03 17:00:00+02:00,237.0,5129.0,18.0,1168.0,7181.0,182.0,0.0,163.0,53.0,313.0,657.0
2020-06-03 18:00:00+02:00,223.0,5104.0,18.0,1166.0,7268.0,182.0,156.0,178.0,53.0,159.0,630.0
2020-06-03 19:00:00+02:00,221.0,5094.0,18.0,1177.0,7249.0,182.0,386.0,180.0,53.0,34.0,548.0
2020-06-03 20:00:00+02:00,250.0,4949.0,18.0,1180.0,7233.0,182.0,419.0,180.0,53.0,5.0,591.0
2020-06-03 21:00:00+02:00,260.0,4871.0,15.0,1157.0,7394.0,182.0,310.0,171.0,53.0,0.0,716.0
2020-06-03 22:00:00+02:00,250.0,4542.0,14.0,1133.0,6768.0,181.0,118.0,169.0,53.0,0.0,883.0
2020-06-03 23:00:00+02:00,234.0,4020.0,15.0,1066.0,6138.0,180.0,11.0,158.0,53.0,0.0,894.0
2020-06-04 00:00:00+02:00,224.0,3364.0,15.0,1065.0,6150.0,179.0,0.0,138.0,7.0,0.0,896.0
2020-06-04 01:00:00+02:00,221.0,3394.0,15.0,1068.0,6174.0,179.0,0.0,136.0,0.0,0.0,846.0
2020-06-04 02:00:00+02:00,220.0,3431.0,15.0,1067.0,6181.0,179.0,0.0,136.0,0.0,0.0,850.0
2020-06-04 03:00:00+02:00,221.0,3465.0,15.0,1067.0,6174.0,179.0,0.0,136.0,0.0,0.0,771.0
2020-06-04 04:00:00+02:00,222.0,3657.0,15.0,1068.0,6131.0,180.0,0.0,136.0,0.0,19.0,719.0
2020-06-04 05:00:00+02:00,239.0,3507.0,15.0,1103.0,6216.0,180.0,0.0,136.0,0.0,75.0,644.0
2020-06-04 06:00:00+02:00,251.0,4483.0,15.0,1105.0,7060.0,180.0,72.0,137.0,0.0,190.0,499.0
2020-06-04 07:00:00+02:00,259.0,5340.0,13.0,1178.0,8085.0,179.0,10.0,137.0,0.0,387.0,265.0
2020-06-04 08:00:00+02:00,245.0,5435.0,12.0,1188.0,8773.0,179.0,351.0,178.0,47.0,638.0,192.0
2020-06-04 09:00:00+02:00,244.0,5405.0,12.0,1170.0,8891.0,179.0,205.0,192.0,53.0,918.0,298.0
2020-06-04 10:00:00+02:00,245.0,5385.0,13.0,1165.0,8671.0,179.0,155.0,199.0,53.0,1061.0,387.0
2020-06-04 11:00:00+02:00,245.0,5360.0,19.0,1173.0,8620.0,179.0,378.0,199.0,53.0,1128.0,423.0
2020-06-04 12:00:00+02:00,245.0,5434.0,20.0,1181.0,8781.0,179.0,346.0,190.0,53.0,1086.0,452.0
2020-06-04 13:00:00+02:00,244.0,5461.0,19.0,1182.0,8815.0,177.0,381.0,189.0,53.0,1006.0,480.0
2020-06-04 14:00:00+02:00,243.0,5446.0,18.0,1154.0,8558.0,177.0,129.0,186.0,53.0,910.0,541.0
2020-06-04 15:00:00+02:00,257.0,5061.0,17.0,1144.0,7909.0,174.0,68.0,179.0,53.0,670.0,594.0
2020-06-04 16:00:00+02:00,262.0,5397.0,17.0,1212.0,8353.0,170.0,68.0,168.0,53.0,486.0,720.0
2020-06-04 17:00:00+02:00,259.0,5165.0,17.0,1281.0,7782.0,171.0,0.0,159.0,52.0,305.0,863.0
2020-06-04 18:00:00+02:00,261.0,4570.0,17.0,1241.0,7622.0,171.0,79.0,168.0,52.0,115.0,1032.0
2020-06-04 19:00:00+02:00,258.0,4965.0,15.0,1236.0,7633.0,173.0,108.0,171.0,52.0,23.0,1203.0
2020-06-04 20:00:00+02:00,258.0,4814.0,14.0,1244.0,7517.0,173.0,110.0,173.0,6.0,4.0,1478.0
2020-06-04 21:00:00+02:00,258.0,5134.0,14.0,1265.0,7303.0,174.0,14.0,173.0,0.0,0.0,2030.0
2020-06-04 22:00:00+02:00,251.0,4877.0,14.0,1217.0,6615.0,175.0,111.0,144.0,0.0,0.0,2564.0
2020-06-04 23:00:00+02:00,233.0,4530.0,13.0,1210.0,6132.0,174.0,0.0,135.0,0.0,0.0,2735.0
