,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
2020-11-30 23:00:00+00:00,416.0,2653.0,1176.0,0.0,664.0,315.0,23.0,0.0,1.0,2325.0
2020-12-01 00:00:00+00:00,410.0,2421.0,1162.0,5.0,439.0,274.0,22.0,0.0,1.0,2250.0
2020-12-01 01:00:00+00:00,412.0,2440.0,1178.0,1.0,434.0,271.0,22.0,0.0,1.0,2021.0
2020-12-01 02:00:00+00:00,421.0,2380.0,1179.0,0.0,387.0,313.0,23.0,0.0,4.0,1838.0
2020-12-01 03:00:00+00:00,420.0,2351.0,1179.0,0.0,402.0,273.0,23.0,0.0,2.0,1676.0
2020-12-01 04:00:00+00:00,419.0,2292.0,1179.0,4.0,465.0,266.0,22.0,0.0,1.0,1643.0
2020-12-01 05:00:00+00:00,419.0,2602.0,1179.0,138.0,752.0,414.0,22.0,0.0,2.0,1575.0
2020-12-01 06:00:00+00:00,414.0,3140.0,1138.0,199.0,951.0,433.0,22.0,0.0,0.0,1378.0
2020-12-01 07:00:00+00:00,417.0,3269.0,910.0,208.0,1239.0,620.0,22.0,4.0,0.0,1175.0
2020-12-01 08:00:00+00:00,417.0,3455.0,909.0,222.0,1182.0,551.0,23.0,128.0,0.0,1058.0
2020-12-01 09:00:00+00:00,411.0,3329.0,909.0,211.0,1363.0,522.0,22.0,327.0,0.0,1027.0
2020-12-01 10:00:00+00:00,413.0,3026.0,909.0,97.0,1178.0,434.0,20.0,450.0,0.0,1082.0
2020-12-01 11:00:00+00:00,414.0,3066.0,909.0,145.0,1207.0,416.0,20.0,531.0,0.0,916.0
2020-12-01 12:00:00+00:00,421.0,3319.0,904.0,145.0,1248.0,456.0,19.0,549.0,0.0,767.0
2020-12-01 13:00:00+00:00,422.0,3243.0,897.0,91.0,1151.0,452.0,21.0,534.0,0.0,649.0
2020-12-01 14:00:00+00:00,421.0,3409.0,909.0,32.0,1165.0,441.0,23.0,471.0,0.0,488.0
2020-12-01 15:00:00+00:00,419.0,3458.0,909.0,32.0,1271.0,466.0,22.0,323.0,1.0,483.0
2020-12-01 16:00:00+00:00,422.0,3506.0,909.0,413.0,1441.0,822.0,23.0,93.0,3.0,661.0
2020-12-01 17:00:00+00:00,418.0,3512.0,909.0,686.0,1474.0,932.0,23.0,0.0,3.0,914.0
2020-12-01 18:00:00+00:00,418.0,3553.0,908.0,934.0,1441.0,1123.0,22.0,0.0,4.0,1008.0
2020-12-01 19:00:00+00:00,416.0,3581.0,908.0,1088.0,1436.0,1123.0,22.0,0.0,4.0,1050.0
2020-12-01 20:00:00+00:00,417.0,3424.0,909.0,452.0,1415.0,834.0,22.0,0.0,8.0,1062.0
2020-12-01 21:00:00+00:00,402.0,3282.0,909.0,369.0,1414.0,804.0,21.0,0.0,17.0,965.0
2020-12-01 22:00:00+00:00,399.0,2993.0,909.0,138.0,935.0,665.0,22.0,0.0,22.0,868.0
2020-12-01 23:00:00+00:00,409.0,2169.0,908.0,145.0,669.0,721.0,23.0,0.0,16.0,685.0
2020-12-02 00:00:00+00:00,409.0,1491.0,949.0,93.0,233.0,426.0,22.0,0.0,19.0,603.0
2020-12-02 01:00:00+00:00,410.0,1467.0,949.0,17.0,243.0,396.0,23.0,0.0,19.0,663.0
2020-12-02 02:00:00+00:00,417.0,1392.0,949.0,1.0,118.0,357.0,24.0,0.0,18.0,817.0
2020-12-02 03:00:00+00:00,420.0,1498.0,949.0,36.0,119.0,370.0,24.0,0.0,23.0,964.0
2020-12-02 04:00:00+00:00,422.0,1474.0,949.0,0.0,119.0,324.0,26.0,0.0,23.0,1051.0
2020-12-02 05:00:00+00:00,420.0,1501.0,988.0,7.0,212.0,275.0,25.0,0.0,21.0,1281.0
2020-12-02 06:00:00+00:00,421.0,2196.0,1061.0,134.0,540.0,437.0,28.0,0.0,17.0,1496.0
2020-12-02 07:00:00+00:00,421.0,2560.0,1065.0,306.0,947.0,431.0,27.0,6.0,17.0,1626.0
2020-12-02 08:00:00+00:00,410.0,2503.0,1064.0,0.0,1700.0,401.0,27.0,143.0,14.0,1801.0
2020-12-02 09:00:00+00:00,414.0,2458.0,1064.0,0.0,1522.0,365.0,29.0,359.0,15.0,1691.0
2020-12-02 10:00:00+00:00,393.0,2291.0,1064.0,0.0,1122.0,304.0,14.0,477.0,23.0,1521.0
2020-12-02 11:00:00+00:00,395.0,2201.0,1065.0,0.0,1030.0,303.0,29.0,532.0,25.0,1657.0
2020-12-02 12:00:00+00:00,402.0,2207.0,1065.0,0.0,918.0,303.0,30.0,557.0,24.0,1573.0
2020-12-02 13:00:00+00:00,409.0,2283.0,1125.0,0.0,831.0,303.0,29.0,535.0,25.0,1331.0
