date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2021-02-01 00:00:00+01:00,338,2911,95,230,1826,6293,3081,47853,0,230,5315
2021-02-01 01:00:00+01:00,339,2917,97,240,2146,6316,2898,47554,0,230,5135
2021-02-01 02:00:00+01:00,341,2820,98,239,2275,6266,2820,47638,0,229,5034
2021-02-01 03:00:00+01:00,341,2870,97,236,2552,6258,2539,47624,0,229,4918
2021-02-01 04:00:00+01:00,340,3100,97,236,2725,6271,2586,47683,0,230,4883
2021-02-01 05:00:00+01:00,342,3799,114,238,2105,6191,2773,48136,0,228,4793
2021-02-01 06:00:00+01:00,340,5015,217,240,1020,6221,3525,48535,0,231,4863
2021-02-01 07:00:00+01:00,341,6399,330,240,803,6597,3848,48533,0,232,4829
2021-02-01 08:00:00+01:00,342,6955,501,240,1156,6815,4270,48732,236,227,4855
2021-02-01 09:00:00+01:00,342,7356,656,239,1078,6815,4354,48748,592,225,4943
2021-02-01 10:00:00+01:00,344,7463,678,239,1185,6787,4529,48766,1130,220,5079
2021-02-01 11:00:00+01:00,345,7499,685,240,1714,6720,4291,48805,1525,220,5323
2021-02-01 12:00:00+01:00,344,7456,689,239,1908,6716,4276,48829,1840,218,5607
2021-02-01 13:00:00+01:00,342,7426,692,240,1509,6869,4254,48797,1948,220,5970
2021-02-01 14:00:00+01:00,343,7399,688,239,1018,6791,3818,49031,1754,219,6221
2021-02-01 15:00:00+01:00,344,7414,685,240,1026,6851,3298,49128,1310,215,6049
2021-02-01 16:00:00+01:00,344,7634,683,239,795,6956,3478,49097,713,209,5692
2021-02-01 17:00:00+01:00,339,7862,681,239,1247,7160,4104,49354,234,212,5080
2021-02-01 18:00:00+01:00,335,7906,686,240,1655,7133,4839,49419,0,208,4332
2021-02-01 19:00:00+01:00,334,7805,684,239,2520,7081,5228,49513,0,209,3839
2021-02-01 20:00:00+01:00,336,7757,670,239,1140,7056,4625,49514,0,212,3467
2021-02-01 21:00:00+01:00,342,7439,572,239,335,7017,4442,49297,0,214,3231
2021-02-01 22:00:00+01:00,340,7128,408,239,51,6901,4122,49191,0,215,3204
2021-02-01 23:00:00+01:00,343,6529,334,239,13,6792,3357,49154,0,216,3678
2021-02-02 00:00:00+01:00,345,5196,93,239,427,6497,3341,48998,0,220,4341
2021-02-02 01:00:00+01:00,341,4623,85,239,1546,6519,3084,48771,0,221,4889
2021-02-02 02:00:00+01:00,345,4187,80,240,2172,6528,3026,48716,0,223,5855
2021-02-02 03:00:00+01:00,346,4027,79,239,2500,6482,2886,47017,0,223,6900
2021-02-02 04:00:00+01:00,346,3897,80,239,2883,6422,2349,45772,0,222,8035
2021-02-02 05:00:00+01:00,345,3874,82,239,2780,6415,2528,46104,0,222,9121
2021-02-02 06:00:00+01:00,346,4708,83,240,780,6445,2942,47830,0,222,9623
2021-02-02 07:00:00+01:00,343,6477,81,239,181,6466,3297,48776,0,223,10221
2021-02-02 08:00:00+01:00,347,6678,81,383,812,6552,3719,49022,287,222,10249
2021-02-02 09:00:00+01:00,345,6593,81,442,806,6568,3667,49178,956,220,10192
2021-02-02 10:00:00+01:00,345,6492,80,442,592,6519,3469,49120,1840,216,10045
2021-02-02 11:00:00+01:00,344,6369,79,429,296,6445,3362,49108,2417,217,10231
2021-02-02 12:00:00+01:00,343,6535,77,374,605,6400,3580,49138,2759,220,10037
2021-02-02 13:00:00+01:00,343,6041,76,358,406,6526,3231,49053,2822,227,9772
2021-02-02 14:00:00+01:00,343,5604,74,342,119,6475,2535,48684,2699,224,9481
2021-02-02 15:00:00+01:00,343,5337,73,258,231,6469,2778,48640,2188,227,9396
2021-02-02 16:00:00+01:00,345,5182,72,239,286,6527,3099,48494,1020,224,8652
2021-02-02 17:00:00+01:00,343,5174,72,239,146,6536,3448,48603,248,218,8318
2021-02-02 18:00:00+01:00,342,5232,72,240,1068,6594,3915,48960,0,215,8430
2021-02-02 19:00:00+01:00,343,5186,73,239,880,6557,4077,48951,0,217,8834
2021-02-02 20:00:00+01:00,343,4275,74,239,690,6493,3340,48443,0,219,9680
2021-02-02 21:00:00+01:00,344,3619,75,239,1538,6463,3594,47646,0,217,9810
2021-02-02 22:00:00+01:00,343,3332,77,239,675,6409,3465,47359,0,217,9511
2021-02-02 23:00:00+01:00,344,3349,78,239,375,6405,3248,47131,0,218,9439
2021-02-03 00:00:00+01:00,345,3172,58,239,1183,6191,2857,47092,0,217,9156
2021-02-03 01:00:00+01:00,345,2892,59,239,2123,6136,2834,46182,0,216,8721
2021-02-03 02:00:00+01:00,346,2889,59,239,2636,6151,2660,45161,0,220,8610
2021-02-03 03:00:00+01:00,347,2915,59,237,2927,6172,2352,44229,0,219,8308
2021-02-03 04:00:00+01:00,348,2914,55,236,2923,6131,2332,44333,0,217,8002
2021-02-03 05:00:00+01:00,349,2933,53,237,2653,6354,2361,45256,0,218,7949
2021-02-03 06:00:00+01:00,347,3224,51,240,395,6358,2791,46878,0,215,8035
